"","IMG_genome_ID","genome_name","fucO","pduC","pduD","pduE","pduL","pduP","pduW","n_genes_present","propanediol_dehydratase_any","propanediol_dehydratase_all"
"23","647533193","Parascardovia denticolens F0305",1,0,0,0,0,0,0,1,0,0
"24","648028016","Clostridium cellulovorans 743B, ATCC 35296",1,0,0,0,0,0,0,1,0,0
"25","648276605","Actinobacillus pleuropneumoniae sv. 1 4074 GCA_000178495.1",1,0,0,0,0,0,0,1,0,0
"26","648276609","Actinobacillus pleuropneumoniae sv. 13 N273",1,0,0,0,0,0,0,1,0,0
"27","648276615","Actinobacillus pleuropneumoniae sv. 9 CVJ13261",1,0,0,0,0,0,0,1,0,0
"28","648276648","Escherichia coli M718",1,0,0,0,0,0,0,1,0,0
"29","648276657","Escherichia coli MS 185-1",1,0,0,0,0,0,0,1,0,0
"30","648276665","Escherichia coli MS 78-1",1,0,0,0,0,0,0,1,0,0
"31","648276671","Escherichia coli TA280",1,0,0,0,0,0,0,1,0,0
"32","650377934","Escherichia coli W, ATCC 9637",1,0,0,0,0,0,0,1,0,0
"33","650377936","Eubacterium rectale DSM 17629",1,0,0,0,0,0,0,1,0,0
"34","650377958","Megamonas hypermegale ART12/1",1,0,0,0,0,0,0,1,0,0
"35","649989948","Escherichia coli MS 145-7",1,0,0,0,0,0,0,1,0,0
"36","649989980","Parascardovia denticolens DSM 10105",1,0,0,0,0,0,0,1,0,0
"37","650377937","Eubacterium rectale M104/1",1,0,0,0,0,0,0,1,0,0
"38","2506520037","Escherichia coli W",1,0,0,0,0,0,0,1,0,0
"39","651053022","Escherichia coli NA114",1,0,0,0,0,0,0,1,0,0
"40","649633042","Erwinia billingiae Eb661",1,0,0,0,0,0,0,1,0,0
"41","643348516","Bifidobacterium longum infantis ATCC 15697",1,0,0,0,0,0,0,1,0,0
"42","2511231199","Klebsiella pneumoniae pneumoniae HS11286",1,1,1,1,1,1,1,7,1,1
"43","2513237113","Budvicia aquatica DSM 5075, ATCC 35567",1,0,0,0,0,1,0,2,0,0
"44","2513237219","Escherichia coli P12b",1,0,0,0,0,0,0,1,0,0
"45","2513237260","Lachnospiraceae bacterium bacterium oral taxon 082 F0431",1,0,0,0,0,0,0,1,0,0
"46","2513237275","Hungatella hathewayi WAL-18680",1,0,0,0,0,0,0,1,0,0
"47","2513237306","Oribacterium asaccharolyticum ACB7",1,0,0,0,0,0,0,1,0,0
"48","2513237343","Dorea formicigenerans 4_6_53AFAA",1,0,0,0,0,0,0,1,0,0
"49","2513237359","Olsenella sp. oral taxon 809 F0356",1,0,0,0,0,0,0,1,0,0
"50","2503754033","Bifidobacterium longum longum UCD303",1,0,0,0,0,0,0,1,0,0
"51","2515154047","Candidatus Gilliamella apicola wkB1",1,0,0,0,0,0,0,1,0,0
"52","2503754030","Bifidobacterium longum infantis UCD304",1,0,0,0,0,0,0,1,0,0
"53","2516143027","Escherichia coli SCI-07",1,1,1,1,1,1,0,6,1,1
"54","2513020025","Bacteroides xylanisolvens NLAE-zl-C29",1,0,0,0,0,0,0,1,0,0
"55","2513237173","Bifidobacterium breve JCM 7019",1,0,0,0,0,0,0,1,0,0
"56","2503754051","Phocaeicola vulgatus 274-1D4",1,0,0,0,0,0,0,1,0,0
"57","2510065013","Enterococcus faecium GS5791",1,0,0,0,0,0,0,1,0,0
"58","2510065006","Enterococcus faecium VRE16",1,0,0,0,0,0,0,1,0,0
"59","2513020041","Escherichia coli K12",1,0,0,0,0,0,0,1,0,0
"60","2517572195","Mannheimia haemolytica sv. 1 L024A",1,0,0,0,0,0,0,1,0,0
"61","2517572219","Mannheimia haemolytica sv. 6 L038A",1,0,0,0,0,0,0,1,0,0
"62","2518645560","Salmonella enterica enterica sv. Heidelberg B182",1,1,1,1,1,1,1,7,1,1
"63","2519103024","Escherichia coli HM605",1,0,0,0,0,1,0,2,0,0
"64","2519103063","Enterococcus faecium 515",1,0,0,0,0,0,0,1,0,0
"65","2519103066","Enterococcus faecium C621",1,0,0,0,0,0,0,1,0,0
"66","2519103197","Bacteroides ovatus NLAE-zl-H73",1,0,0,0,0,0,0,1,0,0
"67","2519899564","Escherichia coli O26:H11 CVM9952",1,0,0,0,0,0,0,1,0,0
"68","2519899591","Bifidobacterium bifidum IF10/10",1,0,0,0,0,0,0,1,0,0
"69","2519899595","Salmonella enterica enterica sv. Heidelberg CFSAN00325",1,1,1,1,1,1,1,7,1,1
"70","2519899616","Salmonella enterica enterica sv. Enteritidis 622731-39",1,1,1,1,1,1,1,7,1,1
"71","2519899618","Salmonella enterica enterica sv. Enteritidis 640631",1,1,1,1,1,1,1,7,1,1
"72","2519899624","Citrobacter sp. A1",1,1,1,1,1,1,1,7,1,1
"73","2519899626","Salmonella enterica enterica sv. Newport Levine 1",1,1,1,1,1,1,1,7,1,1
"74","2519899689","Megamonas rupellensis DSM 19944",1,0,0,0,0,0,0,1,0,0
"75","2519899694","Brachyspira innocens ATCC 29796",1,0,0,1,0,1,0,3,1,0
"76","2519899724","Salmonella enterica enterica sv. Enteritidis 639672-50",1,1,1,1,1,1,1,7,1,1
"77","2519899725","Salmonella enterica enterica sv. Enteritidis 629164-26",1,1,1,1,1,1,1,7,1,1
"78","2519899742","Escherichia coli O104:H4 C227-11",1,0,0,0,0,0,0,1,0,0
"79","2519899780","Escherichia coli O104:H4 2009EL-2071",1,0,0,0,0,0,0,1,0,0
"80","2521172733","Escherichia coli DEC15D",1,0,0,0,0,0,0,1,0,0
"81","2521172734","Escherichia coli DEC15C",1,0,0,0,0,0,0,1,0,0
"82","2522572021","Escherichia coli O145:H28 RM13514",1,0,0,0,0,0,0,1,0,0
"83","2522572164","Escherichia coli O104:H4 Ec11-9941",1,0,0,0,0,0,0,1,0,0
"84","2523533515","Escherichia coli O104:H4 Ec11-4988",1,0,0,0,0,0,0,1,0,0
"85","2523533516","Escherichia coli O104:H4 Ec11-5603",1,0,0,0,0,0,0,1,0,0
"86","2524614709","Butyrivibrio fibrisolvens WTE3004",1,0,0,0,0,0,0,1,0,0
"87","2524614716","Butyrivibrio sp. VCB2001",1,0,0,0,0,0,0,1,0,0
"88","2524614717","Lachnobacterium bovis NK4B19",1,0,0,0,0,0,0,1,0,0
"89","2524614758","Actinotignum urinale DSM 15805",1,0,0,0,0,0,0,1,0,0
"90","2524614766","Leptotrichia hofstadii DSM 21651",1,0,0,0,0,0,0,1,0,0
"91","2524614838","Lachnoclostridium indolis DSM 755",1,0,0,0,0,0,0,1,0,0
"92","2526164523","Bifidobacterium sp. AGR2158",1,0,0,0,0,0,0,1,0,0
"93","2526164601","Escherichia coli DEC9E",1,0,0,0,0,0,0,1,0,0
"94","2526164653","Escherichia coli 11-02033-1",1,0,0,0,0,0,0,1,0,0
"95","2526164668","Escherichia coli DEC11A",1,0,0,0,0,0,0,1,0,0
"96","2529292715","Shigella flexneri VA-6",1,0,0,0,0,0,0,1,0,0
"97","2529292741","Klebsiella pneumoniae pneumoniae JC2877",1,1,0,0,0,1,1,4,1,0
"98","2529292764","Klebsiella pneumoniae pneumoniae KPNIH16",1,1,1,1,1,1,1,7,1,1
"99","2529292829","Escherichia coli 2785200",1,0,0,0,0,0,0,1,0,0
"100","2529292891","Veillonella atypica KON, ATCC 17744",1,0,0,0,0,0,0,1,0,0
"101","2529292922","Escherichia coli DEC1C",1,1,1,1,1,1,0,6,1,1
"102","2529292938","Salmonella enterica enterica sv. Pomona ATCC 10729 GCA_000240905",1,0,1,1,1,1,1,6,1,0
"103","2529292985","Shigella dysenteriae CDC 74-1112",1,0,0,0,0,0,0,1,0,0
"104","2529292995","Escherichia coli O104:H4 E112/10",1,0,0,0,0,0,0,1,0,0
"105","2529292996","Escherichia coli AI27",1,0,0,0,0,0,0,1,0,0
"106","2529292998","Escherichia coli O127:B8 C43/90",1,0,0,0,0,0,0,1,0,0
"107","2529292999","Escherichia coli O111:B4 C48/93",1,0,0,0,0,0,0,1,0,0
"108","2529293043","Escherichia coli DEC3B",1,0,0,0,0,0,0,1,0,0
"109","2529293048","Escherichia coli O104:H4 11-4404",1,0,0,0,0,0,0,1,0,0
"110","2529293060","Escherichia coli P0304777.1",1,0,0,0,0,0,0,1,0,0
"111","2529293061","Escherichia coli P0302308.14",1,1,1,1,1,1,0,6,1,1
"112","2529293071","Escherichia coli TT12B",1,0,0,0,0,0,0,1,0,0
"113","2529293150","Escherichia coli P0304816.7",1,0,0,0,0,0,0,1,0,0
"114","2529293170","Escherichia coli 5412",1,0,0,0,0,0,0,1,0,0
"115","2529293214","Escherichia coli FRIK523",1,0,0,0,0,0,0,1,0,0
"116","2529293215","Escherichia coli FRIK2001",1,0,0,0,0,0,0,1,0,0
"117","2529293266","Bacteroides sp. HPS0048",1,0,0,0,0,0,0,1,0,0
"118","2531839010","Lachnoclostridium bolteae 90B3",1,0,0,0,0,0,0,1,0,0
"119","2531839014","Lachnoclostridium clostridioforme 90A1",1,0,0,0,0,1,0,2,0,0
"120","2531839027","Escherichia coli EC1869",1,0,0,0,0,0,0,1,0,0
"121","2531839030","Escherichia coli EC1870",1,0,0,0,0,0,0,1,0,0
"122","2531839031","Escherichia coli EC4203",1,0,0,0,0,0,0,1,0,0
"123","2531839101","Escherichia coli 96.0107",1,0,0,0,0,0,0,1,0,0
"124","2531839131","Escherichia coli P0299917.2",1,0,0,0,0,0,0,1,0,0
"125","2531839149","Escherichia coli MP021552.12",1,0,0,0,0,0,0,1,0,0
"126","2531839232","Escherichia coli 99.1781",1,0,0,0,0,0,0,1,0,0
"127","2531839304","Bacteroides fragilis CL03T12C07",1,0,0,0,0,0,0,1,0,0
"128","2531839336","Escherichia coli P0305260.11",1,0,0,0,0,0,0,1,0,0
"129","2531839374","Shigella flexneri 1485-80",1,0,0,0,0,0,0,1,0,0
"130","2531839380","Salmonella enterica enterica sv. Newport CVM 35188",1,1,1,1,1,1,1,7,1,1
"131","2531839382","Salmonella enterica enterica sv. Newport CVM 21539",1,1,1,1,1,1,1,7,1,1
"132","2531839383","Salmonella enterica enterica sv. Newport CVM 33953",1,1,1,1,1,1,1,7,1,1
"133","2531839384","Salmonella enterica enterica sv. Newport CVM 21550 GCA_000272715",1,1,1,1,1,1,1,7,1,1
"134","2531839436","Escherichia coli MP021017.5",1,0,0,0,0,0,0,1,0,0
"135","2531839439","Escherichia coli MP021017.4",1,0,0,0,0,0,0,1,0,0
"136","2531839446","Escherichia coli RN587/1",1,1,1,1,1,1,0,6,1,1
"137","2531839450","Escherichia coli 1357",1,1,1,1,1,1,0,6,1,1
"138","2531839468","Escherichia coli 3030-1",1,1,1,1,1,1,0,6,1,1
"139","2531839498","Gardnerella vaginalis 315-A",1,0,0,0,0,0,0,1,0,0
"140","2531839585","Escherichia coli p0305293.13",1,0,0,0,0,0,0,1,0,0
"141","2531839618","Enterococcus faecium P1986",1,0,0,0,0,0,0,1,0,0
"142","2531839622","Escherichia coli PA10",1,0,0,0,0,0,0,1,0,0
"143","2531839628","Salmonella enterica enterica sv. Montevideo 2009083312",1,0,1,1,1,1,1,6,1,0
"144","2534681628","Escherichia coli P0299917.6",1,0,0,0,0,0,0,1,0,0
"145","2534681653","Escherichia coli PA24",1,0,0,0,0,0,0,1,0,0
"146","2534681664","Escherichia coli 2864350",1,0,0,0,0,0,0,1,0,0
"147","2534681709","Escherichia coli KTE157",1,1,1,1,1,1,0,6,1,1
"148","2534681714","Anaerostipes hadrus comb. nov. VPI 82-52, DSM 3319",1,0,0,0,0,0,0,1,0,0
"149","2534681832","Escherichia coli DEC8A",1,0,0,0,0,0,0,1,0,0
"150","2534681896","Klebsiella quasipneumoniae 700603",1,1,1,1,1,1,1,7,1,1
"151","2534681897","Escherichia coli KTE95",1,0,0,0,0,0,0,1,0,0
"152","2534681980","Enterococcus faecium E4453",1,0,0,0,0,0,0,1,0,0
"153","2534681993","Escherichia coli O26:H11 CVM9942",1,0,0,0,0,0,0,1,0,0
"154","2534682108","Escherichia coli 3006",1,0,0,0,0,0,0,1,0,0
"155","2534682160","Escherichia coli STEC_94C",1,0,0,0,0,0,0,1,0,0
"156","2534682163","Escherichia coli STEC_O31",1,0,0,0,0,0,0,1,0,0
"157","2534682169","Escherichia coli P0305260.3",1,0,0,0,0,0,0,1,0,0
"158","2534682172","Escherichia coli P0304816.15",1,0,0,0,0,0,0,1,0,0
"159","2534682174","Escherichia coli P0304816.13",1,0,0,0,0,0,0,1,0,0
"160","2534682176","Escherichia coli P0304816.11",1,0,0,0,0,0,0,1,0,0
"161","2534682205","Lachnoclostridium clostridioforme CM201",1,0,0,0,0,1,0,2,0,0
"162","2534682227","Escherichia coli FDA504",1,0,0,0,0,0,0,1,0,0
"163","2534682228","Escherichia coli FDA505",1,0,0,0,0,0,0,1,0,0
"164","2534682298","Escherichia coli 93.0055",1,0,0,0,0,0,0,1,0,0
"165","2534682325","Escherichia coli O157:H7 1212",1,0,0,0,0,0,0,1,0,0
"166","2537561506","Escherichia coli EC1865",1,0,0,0,0,0,0,1,0,0
"167","2537561562","Escherichia coli P0304777.2",1,0,0,0,0,0,0,1,0,0
"168","2537561639","Salmonella enterica enterica sv. Newport CVM N1543 GCA_000272835",1,1,1,1,1,1,1,7,1,1
"169","2537561685","Escherichia coli p0305293.5",1,0,0,0,0,0,0,1,0,0
"170","2537561687","Escherichia coli p0305293.3",1,0,0,0,0,0,0,1,0,0
"171","2537561691","Escherichia coli P0305260.13",1,0,0,0,0,0,0,1,0,0
"172","2537561709","Escherichia coli 97.1742",1,0,0,0,0,0,0,1,0,0
"173","2537561716","Escherichia coli 99.0816",1,0,0,0,0,0,0,1,0,0
"174","2537561823","Escherichia coli P0301867.4",1,0,0,0,0,0,0,1,0,0
"175","2537561826","Escherichia coli P0301867.5",1,0,0,0,0,0,0,1,0,0
"176","2537561828","Escherichia coli P0301867.8",1,0,0,0,0,0,0,1,0,0
"177","2537561876","Klebsiella pneumoniae WGLW2",1,1,1,1,1,1,1,7,1,1
"178","2537561899","Mannheimia haemolytica sv. 6 H23",1,0,0,0,0,0,0,1,0,0
"179","2537561919","Clostridium perfringens WAL-14572",1,0,0,0,0,0,0,1,0,0
"180","2537561936","Escherichia coli P02997067.6",1,0,0,0,0,0,0,1,0,0
"181","2537561937","Escherichia coli 199900.1",1,0,0,0,0,0,0,1,0,0
"182","2537561946","Escherichia coli O157:H39 TW07793",1,1,1,1,1,1,0,6,1,1
"183","2537561959","Escherichia coli KTE153",1,0,0,0,0,0,0,1,0,0
"184","2537561977","Escherichia coli LT-68",1,0,0,0,0,0,0,1,0,0
"185","2537561978","Escherichia coli H252",1,0,0,0,0,1,0,2,0,0
"186","2537561980","Escherichia coli EPECa12",1,0,0,0,0,0,0,1,0,0
"187","2537562015","Escherichia coli BCE007_MS-11",1,0,0,0,0,0,0,1,0,0
"188","2537562016","Escherichia coli 178900",1,0,0,0,0,0,0,1,0,0
"189","2537562019","Escherichia coli 179550",1,0,0,0,0,0,0,1,0,0
"190","2537562073","Salmonella enterica enterica sv. Montevideo 507440-20",1,0,1,1,1,1,1,6,1,0
"191","2537562091","Escherichia coli H489",1,0,0,0,0,0,0,1,0,0
"192","2537562192","Escherichia coli O91:H- 99.0741",1,0,0,0,0,0,0,1,0,0
"193","2537562236","Salmonella enterica enterica sv. Enteritidis SE10",1,1,1,1,1,1,1,7,1,1
"194","2540341029","Salmonella enterica enterica sv. Montevideo SARB31",1,1,1,1,1,1,1,7,1,1
"195","2541046992","Bacteroides stercoris CC31F",1,0,0,0,0,0,0,1,0,0
"196","2541047050","Klebsiella pneumoniae UHKPC40",1,1,1,1,1,1,1,7,1,1
"197","2541047053","Klebsiella pneumoniae DMC0526",1,1,1,1,1,1,1,7,1,1
"198","2541047056","Klebsiella pneumoniae UHKPC45",1,1,1,1,1,1,1,7,1,1
"199","2541047061","Klebsiella pneumoniae UHKPC27",1,1,1,1,1,1,1,7,1,1
"200","2541047062","Klebsiella pneumoniae UHKPC81",1,1,1,1,1,1,1,7,1,1
"201","2541047069","Klebsiella pneumoniae VAKPC254",1,1,1,1,1,1,1,7,1,1
"202","2541047072","Klebsiella pneumoniae KP-11",1,1,1,1,1,1,1,7,1,1
"203","2541047121","Escherichia coli T234_00",1,0,0,0,0,0,0,1,0,0
"204","2541047123","Escherichia coli 09BKT076207",1,0,0,0,0,0,0,1,0,0
"205","2541047175","Escherichia coli B113",1,0,0,0,0,0,0,1,0,0
"206","2541047441","Escherichia coli B86",1,0,0,0,0,0,0,1,0,0
"207","2541047466","Salmonella enterica enterica sv. Dublin DG22",1,1,1,1,1,1,1,7,1,1
"208","2541047500","Escherichia coli Tx1686",1,0,0,0,0,0,0,1,0,0
"209","2541047501","Escherichia coli Tx3800",1,0,0,0,0,0,0,1,0,0
"210","2541047550","Enterococcus faecium SD2A-2",1,0,0,0,0,0,0,1,0,0
"211","2541047555","Clostridium sartagoforme AAU1_buffalo",1,0,0,0,0,0,0,1,0,0
"212","2541047561","Gardnerella vaginalis JCP7659",1,0,0,0,0,0,0,1,0,0
"213","2541047563","Gardnerella vaginalis JCP7719",1,0,0,0,0,0,0,1,0,0
"214","2541047564","Gardnerella vaginalis JCP8017A",1,0,0,0,0,0,0,1,0,0
"215","2541047574","Bifidobacterium breve JCP7499",1,0,0,0,0,0,0,1,0,0
"216","2541047590","Pantoea agglomerans 299R",1,0,0,0,0,0,0,1,0,0
"217","2541047595","Escherichia coli O10:K5(L):H4, ATCC 23506",1,0,0,0,0,0,0,1,0,0
"218","2541047602","Salmonella enterica enterica sv. Enteritidis CDC_2010K_1884",1,1,1,1,1,1,1,7,1,1
"219","2541047604","Salmonella enterica enterica sv. Enteritidis CDC_2010K_1566",1,1,1,1,1,1,1,7,1,1
"220","2541047605","Salmonella enterica enterica sv. Enteritidis CDC_2010K_1580",1,1,1,1,1,1,1,7,1,1
"221","2541047619","Salmonella enterica enterica sv. Enteritidis CDC_2010K_1445",1,1,1,1,1,1,1,7,1,1
"222","2541047620","Salmonella enterica enterica sv. Enteritidis CDC_2010K_1559",1,1,1,1,1,1,1,7,1,1
"223","2541047634","Salmonella enterica enterica sv. Enteritidis 607308-16",1,1,1,1,1,0,1,6,1,1
"224","2541047637","Salmonella enterica enterica sv. Enteritidis 607308-9",1,1,1,1,1,1,1,7,1,1
"225","2541047641","Salmonella enterica enterica sv. Enteritidis CVM_56-3991",1,1,1,1,1,1,1,7,1,1
"226","2541047653","Salmonella enterica enterica sv. Enteritidis 561362 1-1",1,1,1,1,1,1,1,7,1,1
"227","2541047654","Salmonella enterica enterica sv. Enteritidis 642044 4-1",1,1,1,1,1,1,1,7,1,1
"228","2541047656","Salmonella enterica enterica sv. Enteritidis 648898 4-5",1,1,1,1,1,1,1,7,1,1
"229","2541047657","Salmonella enterica enterica sv. Enteritidis 648899 3-17",1,1,1,1,1,1,1,7,1,1
"230","2541047659","Salmonella enterica enterica sv. Enteritidis 648901 1-17",1,1,1,1,0,1,1,6,1,1
"231","2541047662","Salmonella enterica enterica sv. Enteritidis 648903 1-6",1,1,1,1,1,1,1,7,1,1
"232","2541047673","Salmonella enterica enterica sv. Enteritidis 50-5646",1,0,1,1,1,1,1,6,1,0
"233","2541047694","Escherichia coli HVH 20 (4-5865042)",1,0,0,0,0,0,0,1,0,0
"234","2541047696","Escherichia coli HVH 22 (4-2258986)",1,1,1,1,1,1,0,6,1,1
"235","2541047700","Escherichia coli HVH 27 (4-7449267)",1,0,0,0,0,0,0,1,0,0
"236","2541047709","Escherichia coli HVH 40 (4-1219782)",1,0,0,0,0,0,0,1,0,0
"237","2541047725","Escherichia coli HVH 65 (4-2262045)",1,0,0,0,0,0,0,1,0,0
"238","2541047729","Escherichia coli HVH 73 (4-2393174)",1,0,0,0,0,1,0,2,0,0
"239","2541047731","Escherichia coli HVH 76 (4-2538717)",1,0,0,0,0,1,0,2,0,0
"240","2541047735","Escherichia coli HVH 80 (4-2428830)",1,0,0,0,0,0,0,1,0,0
"241","2541047745","Escherichia coli HVH 100 (4-2850729)",1,0,0,0,0,0,0,1,0,0
"242","2541047751","Escherichia coli HVH 109 (4-6977162)",1,0,0,0,0,0,0,1,0,0
"243","2541047783","Escherichia coli HVH 145 (4-5672112)",1,1,1,1,1,1,0,6,1,1
"244","2541047786","Escherichia coli HVH 149 (4-4451880)",1,0,0,0,0,0,0,1,0,0
"245","2541047788","Escherichia coli HVH 151 (4-5755573)",1,1,1,1,1,1,0,6,1,1
"246","2541047790","Escherichia coli HVH 154 (4-5636698)",1,0,0,0,0,0,0,1,0,0
"247","2541047800","Escherichia coli HVH 172 (4-3248542)",1,0,0,0,0,0,0,1,0,0
"248","2541047807","Escherichia coli HVH 162 (4-5627982)",1,0,0,0,0,0,0,1,0,0
"249","2541047812","Escherichia coli HVH 198 (4-3206106)",1,1,1,1,1,1,0,6,1,1
"250","2541047813","Escherichia coli HVH 197 (4-4466217)",1,0,0,0,0,0,0,1,0,0
"251","2541047830","Escherichia coli HVH 202 (4-3163997)",1,0,0,0,0,0,0,1,0,0
"252","2541047833","Escherichia coli HVH 205 (4-3094677)",1,0,0,0,0,0,0,1,0,0
"253","2541047851","Escherichia coli KOEGE 30 (63a)",1,0,0,0,0,0,0,1,0,0
"254","2541047852","Escherichia coli KOEGE 32 (66a)",1,0,0,0,0,0,0,1,0,0
"255","2541047860","Escherichia coli HVH 221 (4-3136817)",1,0,0,0,0,0,0,1,0,0
"256","2541047861","Escherichia coli HVH 222 (4-2977443)",1,0,0,0,0,0,0,1,0,0
"257","2541047865","Escherichia coli UMEA 3052-1",1,0,0,0,0,0,0,1,0,0
"258","2541047870","Escherichia coli KOEGE 131 (358a)",1,0,0,0,0,0,0,1,0,0
"259","2541047873","Escherichia coli KOEGE 73 (195a)",1,1,1,1,1,1,0,6,1,1
"260","2541047880","Escherichia coli UMEA 3155-1",1,1,1,1,1,1,0,6,1,1
"261","2541047885","Escherichia coli UMEA 3139-1",1,0,0,0,0,0,0,1,0,0
"262","2541047891","Escherichia coli UMEA 3108-1",1,1,1,1,1,1,0,6,1,1
"263","2541047898","Escherichia coli UMEA 3199-1",1,0,0,0,0,0,0,1,0,0
"264","2541047912","Escherichia coli UMEA 3160-1",1,1,1,1,1,1,0,6,1,1
"265","2541047924","Escherichia coli UMEA 3230-1",1,0,0,0,0,0,0,1,0,0
"266","2541047942","Escherichia coli UMEA 3314-1",1,0,0,0,0,0,0,1,0,0
"267","2541047945","Escherichia coli UMEA 3592-1",1,0,0,0,0,0,0,1,0,0
"268","2541047947","Escherichia coli UMEA 3617-1",1,0,0,0,0,0,0,1,0,0
"269","2541047969","Escherichia coli UMEA 3834-1",1,0,0,0,0,0,0,1,0,0
"270","2541047976","Klebsiella pneumoniae UHKPC61",1,1,1,1,1,1,1,7,1,1
"271","2541047987","Klebsiella pneumoniae UHKPC67",1,1,1,1,1,1,1,7,1,1
"272","2545824632","Mannheimia haemolytica USDA-ARS-USMARC-183",1,0,0,0,0,0,0,1,0,0
"273","2545824669","Enterococcus raffinosus ATCC 49464",1,1,1,1,1,1,0,6,1,1
"274","2545824673","Enterococcus casseliflavus ATCC 49996",1,0,0,0,0,0,0,1,0,0
"275","2545824685","Klebsiella pneumoniae 160_1080",1,1,1,1,1,1,1,7,1,1
"276","2545824716","Escherichia coli P0301867.13",1,0,0,0,0,0,0,1,0,0
"277","2545824719","Escherichia coli p0305293.14",1,0,0,0,0,0,0,1,0,0
"278","2545824775","Klebsiella pneumoniae pneumoniae B5055",1,1,1,1,1,1,1,7,1,1
"279","2545824782","Klebsiella pneumoniae pneumoniae MP14",1,1,1,1,1,1,1,7,1,1
"280","2547132040","Klebsiella oxytoca 10-5248",1,1,1,1,1,1,1,7,1,1
"281","2547132041","Escherichia coli K-12 MG1655star",1,0,0,0,0,0,0,1,0,0
"282","2547132149","Anaerococcus vaginalis PH9",1,0,0,0,0,0,0,1,0,0
"283","2547132170","Dickeya solani GBBC 2040",1,0,0,0,0,0,0,1,0,0
"284","2547132178","Brachybacterium muris UCD-AY4",1,0,0,0,0,0,0,1,0,0
"285","2547132220","Escherichia coli EC4009",1,0,0,0,0,0,0,1,0,0
"286","2547132252","Escherichia coli O26:H11 H30",1,0,0,0,0,0,0,1,0,0
"287","2547132253","Escherichia coli O45:H2 95.0941",1,0,0,0,0,0,0,1,0,0
"288","2547132277","Escherichia coli TW10598",1,0,0,0,0,0,0,1,0,0
"289","2547132415","Escherichia coli 174750",1,1,1,0,1,1,0,5,1,0
"290","2548876529","Escherichia coli O104:H4 H112180283",1,0,0,0,0,0,0,1,0,0
"291","2548876530","Escherichia coli O104:H4 H112180540",1,0,0,0,0,0,0,1,0,0
"292","2548876693","Escherichia coli O91:H21 B2F1",1,0,0,0,0,0,0,1,0,0
"293","2548876696","Escherichia coli O145:H28 4865/96",1,0,0,0,0,0,0,1,0,0
"294","2548876701","Escherichia coli C155_11",1,0,0,0,0,0,0,1,0,0
"295","2548876782","Klebsiella oxytoca 11492-1",1,1,1,1,1,1,1,7,1,1
"296","2548876857","Escherichia coli C418_89",1,1,1,1,1,1,0,6,1,1
"297","2548876860","Escherichia coli C527_94",1,0,0,0,0,0,0,1,0,0
"298","2548876935","Escherichia coli C283_09",1,0,0,0,0,0,0,1,0,0
"299","2548876941","Escherichia coli C341_10",1,0,0,0,0,0,0,1,0,0
"300","2548876946","Escherichia coli C652_10",1,0,0,0,0,0,0,1,0,0
"301","2548876973","Actinomyces massiliensis 4401292",1,0,0,0,0,0,0,1,0,0
"302","2548877025","Enterococcus faecium LCT-EF128",1,0,0,0,0,0,0,1,0,0
