"","X1","species"
"26","Bacteroides-intestinalis-DSM-17393-MAF-2","Bacteroides intestinalis"
"27","Enterocloster-bolteae-ATCC-BAA-613-MAF-2","Enterocloster bolteae"
"28","Bifidobacterium_adolescentis","Bifidobacterium adolescentis"
"29","Blautia-sp-KLE-1732-MAF-2","Blautia species"
"30","Eubacterium-siraeum-DSM-15702-MAF-2","Eubacterium siraeum"
"31","Parabacteroides-johnsonii-DSM-18315-MAF-2","Parabacteroides johnsonii"
"32","Bifidobacterium_longum","Bifidobacterium longum"
"33","Bacteroides-caccae-ATCC-43185-MAF-2","Bacteroides caccae"
"34","Bacteroides-ovatus-ATCC-8483-MAF-2","Bacteroides ovatus"
"35","Blautia-wexlerae-DSM-19850-MAF-2","Blautia wexlerae"
"36","Faecalibacterium_prausnitzii","Faecalibacterium prausnitzii"
"37","Tyzzerella-nexilis-DSM-1787-MAF-2","Tyzzerella nexilis"
"38","Veillonella-sp-3-1-44-MAF-2","Veillonella species"
"39","Lactobacillus-ruminis-ATCC-25644-MAF-2","Lactobacillus ruminis"
"40","Bacteroides-sp-9-1-42FAA-MAF-2","Bacteroides species"
"41","Akkermansia_muciniphila","Akkermansia muciniphila"
"42","Alistipes-indistinctus-YIT-12060-MAF-2","Alistipes indistinctus"
"43","Eubacterium-ventriosum-ATCC-27560-MAF-2","Eubacterium ventriosum"
"44","Alistipes-onderdonkii-DSM-19147-MAF-2","Alistipes onderdonkii"
"45","Ruminococcus_bromii","Ruminococcus bromii"
"46","Anaerobutyricum_hallii","Anaerobutyricum hallii"
"47","Parabacteroides-sp-D13-MAF-2","Parabacteroides species"
"48","Megasphaera-elsdenii-14-14-MAF-2","Megasphaera elsdenii"
"49","Bacteroides-fragilis-2-1-16-MAF-2","Bacteroides fragilis"
"50","Enterocloster-asparagiformis-DSM-15981-MAF-2","Enterocloster asparagiformis"
"51","Bacteroides-rodentium-JCM-16496-MAF-2","Bacteroides rodentium"
"52","Blautia-hydrogenotrophica-DSM-10507-MAF-2","Blautia hydrogenotrophica"
"53","Bacteroides-fragilis-3-1-12-MAF-2","Bacteroides fragilis"
"54","Lactococcus-lactis-IL1403-MAF-2","Lactococcus lactis"
"55","Bacteroides-coprophilus-DSM-18228-MAF-2","Bacteroides coprophilus"
"56","Bacteroides-stercoris-ATCC-43183-MAF-2","Bacteroides stercoris"
"57","Bacteroides-sp-3-1-19-MAF-2","Bacteroides species"
"58","Dorea-longicatena-DSM-13814-MAF-2","Dorea longicatena"
"59","Intestinibacter-bartlettii-DSM-16795-MAF-2","Intestinibacter bartlettii"
"60","Bacteroides_fragilis","Bacteroides fragilis"
"61","Blautia-obeum-ATCC-29174-MAF-2","Blautia obeum"
"62","Clostridium-sp-M62-1-MAF-2","Clostridium species"
"63","Catenibacterium-mitsuokai-DSM-15897-MAF-2","Catenibacterium mitsuokai"
"64","Bacteroides-dorei-DSM-17855-MAF-2","Bacteroides dorei"
"65","Butyrivibrio-crossotus-DSM-2876-MAF-2","Butyrivibrio crossotus"
"66","Prevotella-buccalis-ATCC-35310-MAF-2","Prevotella buccalis"
"67","Coprococcus-eutactus-ATCC-27759-MAF-2","Coprococcus eutactus"
"68","Bacteroides-finegoldii-DSM-17565-MAF-2","Bacteroides finegoldii"
"69","Anaerostipes-caccae-DSM-14662-MAF-2","Anaerostipes caccae"
"70","Prevotella-copri-DSM-18205-MAF-2","Prevotella copri"
"71","Acidaminococcus-intestini-D21-MAF-2","Acidaminococcus intestini"
"72","Eubacterium_rectale","Eubacterium rectale"
"73","Marvinbryantia-formatexigens-DSM-14469-MAF-2","Marvinbryantia formatexigens"
"74","Desulfovibrio_piger","Desulfovibrio piger"
"75","Escherichia_coli","Escherichia coli"
"76","Bacteroides-cellulosilyticus-DSM-14838-MAF-2","Bacteroides cellulosilyticus"
"77","Alistipes-ihumii-AP11-MAF-2","Alistipes ihumii"
"78","Coprococcus-comes-ATCC-27758-MAF-2","Coprococcus comes"
"79","Bacteroides-dorei-5-1-36-D4-MAF-2","Bacteroides dorei"
"80","Ruminococcus-gauvreauii-DSM-19829-MAF-2","Ruminococcus gauvreauii"
"81","Phocaeicola_vulgatus","Phocaeicola vulgatus"
"82","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2","Bacteroides thetaiotaomicron"
"83","Clostridium-spiroforme-DSM-1552-MAF-2","Clostridium spiroforme"
"84","Bacteroides-pectinophilus-ATCC-43243-MAF-2","Bacteroides pectinophilus"
"85","Alistipes-shahii-WAL-8301-MAF-2","Alistipes shahii"
"86","Subdoligranulum-variabile-DSM-15176-MAF-2","Subdoligranulum variabile"
"87","Bacteroides-uniformis-ATCC-8492-MAF-2","Bacteroides uniformis"
"88","Ruminococcus-lactaris-ATCC-29176-MAF-2","Ruminococcus lactaris"
"89","Acidaminococcus_fermentans","Acidaminococcus fermentans"
"90","Actinobacillus_capsulatus","Actinobacillus capsulatus"
"91","Actinomyces_neuii","Actinomyces neuii"
"92","Adlercreutzia_equolifaciens","Adlercreutzia equolifaciens"
"93","Aggregatibacter_actinomycetemcomitans","Aggregatibacter actinomycetemcomitans"
"94","Aliagarivorans_marinus","Aliagarivorans marinus"
"95","Alistipes_finegoldii","Alistipes finegoldii"
"96","Alloscardovia_omnicolens","Alloscardovia omnicolens"
"97","Anaerococcus_prevotii","Anaerococcus prevotii"
"98","Anaerostipes_hadrus","Anaerostipes hadrus"
"99","Bacillus_subtilis","Bacillus subtilis"
"100","Bacteroides_acidifaciens","Bacteroides acidifaciens"
"101","Bacteroides_clarus","Bacteroides clarus"
"102","Bacteroides_faecis","Bacteroides faecis"
"103","Bacteroides_gallinarum","Bacteroides gallinarum"
"104","Bacteroides_nordii","Bacteroides nordii"
"105","Bacteroides_salanitronis","Bacteroides salanitronis"
"106","Bacteroides_salyersiae","Bacteroides salyersiae"
"107","Barnesiella_intestinihominis","Barnesiella intestinihominis"
"108","Bavariicoccus_seileri","Bavariicoccus seileri"
"109","Bifidobacterium_animalis","Bifidobacterium animalis"
"110","Bifidobacterium_bifidum","Bifidobacterium bifidum"
"111","Bifidobacterium_breve","Bifidobacterium breve"
"112","Bifidobacterium_pseudocatenulatum","Bifidobacterium pseudocatenulatum"
"113","Bilophila_wadsworthia","Bilophila wadsworthia"
"114","Blautia_luti","Blautia luti"
"115","Blautia_producta","Blautia producta"
"116","Brachymonas_chironomi","Brachymonas chironomi"
"117","Caldicoprobacter_faecalis","Caldicoprobacter faecalis"
"118","Citrobacter_pasteurii","Citrobacter pasteurii"
"119","Clostridioides_difficile","Clostridioides difficile"
"120","Cutibacterium_acnes","Cutibacterium acnes"
"121","Dysgonomonas_capnocytophagoides","Dysgonomonas capnocytophagoides"
"122","Eggerthella_lenta","Eggerthella lenta"
"123","Eisenbergiella_tayi","Eisenbergiella tayi"
"124","Enterobacter_asburiae","Enterobacter asburiae"
"125","Enterobacter_cloacae","Enterobacter cloacae"
"126","Enterococcus_casseliflavus","Enterococcus casseliflavus"
"127","Enterococcus_durans","Enterococcus durans"
"128","Enterococcus_faecalis","Enterococcus faecalis"
"129","Enterococcus_faecium","Enterococcus faecium"
"130","Enterococcus_gallinarum","Enterococcus gallinarum"
"131","Enterovibrio_nigricans","Enterovibrio nigricans"
"132","Erysipelatoclostridium_ramosum","Erysipelatoclostridium ramosum"
"133","Eubacterium_limosum","Eubacterium limosum"
"134","Eubacterium_ramulus","Eubacterium ramulus"
"135","Faecalitalea_cylindroides","Faecalitalea cylindroides"
"136","Ferrimonas_balearica","Ferrimonas balearica"
"137","Flavobacterium_daejeonense","Flavobacterium daejeonense"
"138","Flavonifractor_plautii","Flavonifractor plautii"
"139","Fusicatenibacter_saccharivorans","Fusicatenibacter saccharivorans"
"140","Gallibacterium_anatis","Gallibacterium anatis"
"141","Gemmiger_formicilis","Gemmiger formicilis"
"142","Hafnia_alvei","Hafnia alvei"
"143","Helicobacter_bilis","Helicobacter bilis"
"144","Helicobacter_pametensis","Helicobacter pametensis"
"145","Helicobacter_rodentium","Helicobacter rodentium"
"146","Hungatella_hathewayi","Hungatella hathewayi"
"147","Intestinimonas_butyriciproducens","Intestinimonas butyriciproducens"
"148","Klebsiella_oxytoca","Klebsiella oxytoca"
"149","Klebsiella_pneumoniae","Klebsiella pneumoniae"
"150","Lachnospira_pectinoschiza","Lachnospira pectinoschiza"
"151","Lactobacillus_animalis","Lactobacillus animalis"
"152","Lactobacillus_gasseri","Lactobacillus gasseri"
"153","Lactobacillus_paracasei","Lactobacillus paracasei"
"154","Lactobacillus_plantarum","Lactobacillus plantarum"
"155","Lactobacillus_reuteri","Lactobacillus reuteri"
"156","Lactobacillus_rhamnosus","Lactobacillus rhamnosus"
"157","Lactobacillus_salivarius","Lactobacillus salivarius"
"158","Leuconostoc_mesenteroides","Leuconostoc mesenteroides"
"159","Leuconostoc_pseudomesenteroides","Leuconostoc pseudomesenteroides"
"160","Mannheimia_granulomatis","Mannheimia granulomatis"
"161","Microvirgula_aerodenitrificans","Microvirgula aerodenitrificans"
"162","Mitsuokella_jalaludinii","Mitsuokella jalaludinii"
"163","Murimonas_intestini","Murimonas intestini"
"164","Nitriliruptor_alkaliphilus","Nitriliruptor alkaliphilus"
"165","Odoribacter_splanchnicus","Odoribacter splanchnicus"
"166","Ornithobacterium_rhinotracheale","Ornithobacterium rhinotracheale"
"167","Parabacteroides_distasonis","Parabacteroides distasonis"
"168","Parabacteroides_goldsteinii","Parabacteroides goldsteinii"
"169","Pediococcus_acidilactici","Pediococcus acidilactici"
"170","Peptoniphilus_harei","Peptoniphilus harei"
"171","Porphyromonas_asaccharolytica","Porphyromonas asaccharolytica"
"172","Porphyromonas_uenonis","Porphyromonas uenonis"
"173","Prevotella_baroniae","Prevotella baroniae"
"174","Prevotella_bivia","Prevotella bivia"
"175","Prevotella_dentalis","Prevotella dentalis"
"176","Prevotella_micans","Prevotella micans"
"177","Prevotella_multisaccharivorax","Prevotella multisaccharivorax"
"178","Prevotella_veroralis","Prevotella veroralis"
"179","Propionimicrobium_lymphophilum","Propionimicrobium lymphophilum"
"180","Proteus_mirabilis","Proteus mirabilis"
"181","Pseudomonas_aeruginosa","Pseudomonas aeruginosa"
"182","Rheinheimera_perlucida","Rheinheimera perlucida"
"183","Rheinheimera_texasensis","Rheinheimera texasensis"
"184","Riemerella_columbina","Riemerella columbina"
"185","Roseburia_faecis","Roseburia faecis"
"186","Roseburia_inulinivorans","Roseburia inulinivorans"
"187","Ruminococcus_bicirculans","Ruminococcus bicirculans"
"188","Sellimonas_intestinalis","Sellimonas intestinalis"
"189","Staphylococcus_epidermidis","Staphylococcus epidermidis"
"190","Staphylococcus_lentus","Staphylococcus lentus"
"191","Staphylococcus_nepalensis","Staphylococcus nepalensis"
"192","Staphylococcus_xylosus","Staphylococcus xylosus"
"193","Stenotrophomonas_maltophilia","Stenotrophomonas maltophilia"
"194","Streptococcus_agalactiae","Streptococcus agalactiae"
"195","Streptococcus_anginosus","Streptococcus anginosus"
"196","Streptococcus_caballi","Streptococcus caballi"
"197","Streptococcus_castoreus","Streptococcus castoreus"
"198","Streptococcus_didelphis","Streptococcus didelphis"
"199","Streptococcus_henryi","Streptococcus henryi"
"200","Streptococcus_hyovaginalis","Streptococcus hyovaginalis"
"201","Streptococcus_lutetiensis","Streptococcus lutetiensis"
"202","Streptococcus_merionis","Streptococcus merionis"
"203","Streptococcus_mutans","Streptococcus mutans"
"204","Streptococcus_oralis","Streptococcus oralis"
"205","Streptococcus_ovis","Streptococcus ovis"
"206","Streptococcus_parasanguinis","Streptococcus parasanguinis"
"207","Streptococcus_plurextorum","Streptococcus plurextorum"
"208","Streptococcus_porci","Streptococcus porci"
"209","Streptococcus_pyogenes","Streptococcus pyogenes"
"210","Streptococcus_salivarius","Streptococcus salivarius"
"211","Streptococcus_sobrinus","Streptococcus sobrinus"
"212","Streptococcus_thoraltensis","Streptococcus thoraltensis"
"213","Sutterella_wadsworthensis","Sutterella wadsworthensis"
"214","Turicibacter_sanguinis","Turicibacter sanguinis"
"215","Varibaculum_cambriense","Varibaculum cambriense"
"216","Veillonella_parvula","Veillonella parvula"
"217","Vibrio_cincinnatiensis","Vibrio cincinnatiensis"
"218","Phascolarctobacterium_faecium","Phascolarctobacterium faecium"
"219","Parasutterella_excrementihominis","Parasutterella excrementihominis"
"220","Lactobacillus_rogosae","Lactobacillus rogosae"
"221","Bacteroides_massilliensis","Bacteroides massilliensis"
"222","Sphingomonas_echinoides","Sphingomonas echinoides"
"223","Haemophilus_parainfluenzae","Haemophilus parainfluenzae"
"224","Ochrobactrum_cytisi","Ochrobactrum cytisi"
"225","Sphingomonas_melonis","Sphingomonas melonis"
"226","Ruminococcus_torques","Ruminococcus torques"
"227","Pannonibacte_phragmitetus","Pannonibacte phragmitetus"
"228","Holdemanella_biformis","Holdemanella biformis"
"229","Coprobacter_fastidiosus","Coprobacter fastidiosus"
"230","Ruminococcus_callidus","Ruminococcus callidus"
"231","Phascolarctobacterium_succinatutens","Phascolarctobacterium succinatutens"
"232","Comamonas_kerstersii","Comamonas kerstersii"
"233","Eubacterium_hadrum","Eubacterium hadrum"
"234","Fusobacterium_mortiferum","Fusobacterium mortiferum"
"235","Clostridium_leptum","Clostridium leptum"
