"","strain","hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_id.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","description.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_id.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","description.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_id.methylmalonyl-CoA-epimerase-EC5-1-99-1","description.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_id.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","description.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_id.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","description.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_id.methylmalonyl-CoA-mutase-EC5-4-99-2","description.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_id.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","description.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_id.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","description.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","hit_id.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","description.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","pathway"
"296","Bacteroides-coprophilus-DSM-18228-MAF-2",616.6,"1_3490/8-385","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.8,"1_3491/1-142","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",240.3,"1_3494/1-134","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.3,"1_3493/3-517","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.7,"1_3492/189-304","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",859,"1_186/1-638","Bacteroides-coprophilus-DSM-18228-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"302","Bacteroides-dorei-5-1-36-D4-MAF-2",612.8,"1_2609/8-385","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.3,"1_2610/1-143","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.7,"1_2613/1-137","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",942.3,"1_2612/3-517","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.2,"1_2611/178-304","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",865,"1_2089/1-635","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"308","Bacteroides-dorei-DSM-17855-MAF-2",613,"1_2663/8-385","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.4,"1_2664/1-143","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.7,"1_2667/1-137","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",942.3,"1_2666/3-517","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.2,"1_2665/178-304","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",867.6,"1_322/1-635","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"314","Bacteroides-eggerthii-DSM-20697-MAF-2",612.7,"1_1774/9-385","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",198.2,"1_1775/1-143","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",237.8,"1_1778/1-136","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",938.3,"1_1777/3-517","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.8,"1_1776/182-305","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",859.9,"1_3426/10-711","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"320","Bacteroides-finegoldii-DSM-17565-MAF-2",615.1,"1_3755/8-385","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.4,"1_3754/1-143","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"1_3751/1-134","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",938.6,"1_3752/3-517","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",87.8,"1_3753/188-300","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",857.8,"1_4070/10-711","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"326","Bacteroides-fragilis-2-1-16-MAF-2",612.9,"1_3767/9-385","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",200.7,"1_3766/1-143","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.1,"1_3763/1-134","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.8,"1_3764/3-517","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",98.1,"1_3765/175-300","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860.1,"1_4260/1-630","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"332","Bacteroides-fragilis-3-1-12-MAF-2",612.8,"1_4107/9-385","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",198.7,"1_4106/1-143","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.8,"1_4103/1-134","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.8,"1_4104/3-517","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",98.9,"1_4105/175-300","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",858.6,"1_4632/1-630","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"338","Bacteroides-intestinalis-DSM-17393-MAF-2",613.1,"1_2251/9-385","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",200.8,"1_2252/1-141","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244.7,"1_2255/1-136","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.9,"1_2254/3-517","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",92.8,"1_2253/178-305","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",861.1,"1_4617/1-617","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"344","Bacteroides-ovatus-ATCC-8483-MAF-2",616.4,"1_4479/8-385","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",202.5,"1_4478/1-143","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"1_4475/1-134","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.5,"1_4476/3-517","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",86,"1_4477/187-300","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",857.4,"1_4844/10-711","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"353","Bacteroides-plebeius-DSM-17135-MAF-2",614.7,"1_1707/8-385","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",193.4,"1_1706/1-142","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",237,"1_1703/1-134","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",940.6,"1_1704/3-517","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",93.1,"1_1705/188-305","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",859.7,"1_203/8-712","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"359","Bacteroides-rodentium-JCM-16496-MAF-2",611.2,"1_3756/9-385","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.4,"1_3755/1-143","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",246,"1_3752/16-170","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",939.1,"1_3753/3-517","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",91.3,"1_3754/187-304","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",856.7,"1_4135/10-711","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"365","Bacteroides-sp-3-1-19-MAF-2",610.3,"1_161/9-385","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",194.6,"1_162/1-142","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244,"1_165/1-134","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.3,"1_164/3-517","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",97.8,"1_163/174-291","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",844.9,"1_2536/1-618","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"371","Bacteroides-sp-9-1-42FAA-MAF-2",613,"1_2808/8-385","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.3,"1_2809/1-143","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.7,"1_2812/1-137","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",941.2,"1_2811/3-517","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.2,"1_2810/178-304","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",865,"1_337/1-635","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"377","Bacteroides-sp-D2-MAF-2",611.4,"1_4894/8-385","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201.2,"1_4893/1-143","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",240,"1_4890/1-134","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",933.7,"1_4891/3-517","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",87,"1_4892/186-300","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",856.2,"1_5215/1-631","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"383","Bacteroides-stercoris-ATCC-43183-MAF-2",609.9,"1_2868/9-385","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",199.8,"1_2867/1-143","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.7,"1_2864/1-136","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",938.8,"1_2865/3-517","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",87.6,"1_2866/188-305","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",860.7,"1_3379/10-711","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
"389","Bacteroides-thetaiotaomicron-1-1-6-MAF-2",613.1,"1_4590/8-385","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",203.7,"1_4589/1-144","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"1_4586/1-134","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",936.6,"1_4587/3-517","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",89.3,"1_4588/188-303","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",857.6,"1_5258/1-631","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase"
