"","IMG_genome_ID","genome_name","scpA","scpB","scpC","argK","n_genes_present"
"37","646862347","Saccharolobus solfataricus 98/2",1,0,0,1,2
"38","648028003","Acidilobus saccharovorans 345-15",1,0,0,1,2
"39","648028029","Halalkalicoccus jeotgali B3, DSM 18796",1,0,0,1,2
"40","648028062","Vulcanisaeta distributa DSM 14429",1,0,0,1,2
"41","649633053","Halogeometricum borinquense PR3, DSM 11551",1,0,0,1,2
"42","650377981","Sulfolobus islandicus HVE10/4",1,0,0,1,2
"43","650377982","Sulfolobus islandicus REY15A",1,0,0,1,2
"44","650377985","Vulcanisaeta moutnovskia 768-28",1,0,0,1,2
"45","649989953","Haladaptatus paucihalophilus DX253",1,0,0,1,2
"46","649990020","Saccharolobus solfataricus 98/2",1,0,0,1,2
"47","650716051","Metallosphaera cuprina Ar-4",1,0,0,1,2
"48","650716097","Thermococcus sp. 4557",1,0,0,1,2
"49","650716001","Acidianus hospitalis W1",1,0,0,1,2
"50","2508501014","Haloferax denitrificans S1",1,0,0,1,2
"51","2508501015","Haloferax sulfurifontis M6",1,0,0,1,2
"52","2508501016","Haloarcula californiae BJGN-2, ATCC 33799",1,0,0,1,2
"53","2508501017","Haloarcula sinaiiensis BJSG-2",1,0,0,1,2
"54","2508501018","Haloarcula vallismortis J.F. 54",1,0,0,1,2
"55","2508501019","Haloferax mediterranei R-4",1,0,0,1,2
"56","2508501020","Haloferax mucosum PA12",1,0,0,1,2
"57","650716096","Thermococcus barophilus MP, DSM 11836",1,0,0,1,2
"58","2506520034","Halopiger xanaduensis SH-6",1,0,0,1,2
"59","2508501049","Metallosphaera yellowstonensis MK1",1,0,0,1,2
"60","2506520044","Natronococcus occultus SP4, DSM 3396",1,0,0,1,2
"61","2506783009","Halovivax ruber XH-70, DSM 18193",1,0,0,1,2
"62","2506783047","Halobacterium sp. DL1",1,0,0,1,2
"63","2506783052","halophilic archaeon DL31",1,0,0,1,2
"64","650716079","Pyrococcus sp. NA2",1,0,0,1,2
"65","651053028","Haloquadratum walsbyi C23, DSM 16854",1,0,0,1,2
"66","651324018","Nitrosarchaeum limnium SFB1 (unscreened)",1,0,0,1,2
"67","651324076","Nitrosarchaeum koreensis MY1",1,0,0,1,2
"68","2509601048","Natrinema pellirubrum 157",1,0,0,1,2
"69","2504756013","Geoarchaeota archaeon OSPB-1",1,0,0,1,2
"70","2510065005","Thermococcus sp. PK",1,0,0,1,2
"71","2510065009","Caldisphaera lagunensis DSM 15908",1,0,0,1,2
"72","2510065051","Halostagnicola larsenii XH-48, DSM 17691",1,0,0,1,2
"73","2508501109","Aciduliprofundum sp. MAR08-339",1,0,0,1,2
"74","2501025505","Palaeococcus ferrophilus DMJ, DSM 13482",1,0,0,1,2
"75","2510461022","Natronobacterium gregoryi SP2",1,0,0,1,2
"76","2511231053","Thermococcus sp. AM4",1,0,0,1,2
"77","2511231068","Haloarcula hispanica CGMCC 1.2049",1,0,0,1,2
"78","2513237398","Thermococcus litoralis DSM 5473",1,0,0,1,2
"79","2505313007","Thermoproteaceae Type I archaeon",1,0,0,1,2
"80","2502957026","Thaumarchaeota archaeon sp. BS1",1,0,0,1,2
"81","2502171174","Halococcus hamelinensis 100A6",1,0,0,1,2
"82","2502545036","Candidatus Nitrosopumilus sp. BD31",1,0,0,1,2
"83","2504557011","Thermoproteales Type I",1,0,0,0,1
"84","2514885039","Sulfolobales sp. HSU1",1,0,0,0,1
"85","2514885038","Sulfolobales sp. HSU1",1,0,0,1,2
"86","2512047006","Candidatus Halobaculum G22",1,0,0,1,2
"87","2503044002","Desulfurococcales archaeon",1,0,0,1,2
"88","2502873002","unclassified Metallosphaera archaeon",1,0,0,1,2
"89","2513237067","Marine Group I crenarchaeote sp. SCGC AAA001-A19 (unscreened)",1,0,0,1,2
"90","2513237068","Marine Group I crenarchaeote sp. SCGC AAA007-N19 (unscreened)",1,0,0,1,2
"91","2504557010","Thermoproteales Type I",1,0,0,1,2
"92","2513237066","Marine Group I crenarchaeote sp. SCGC AAA288-I14 (unscreened)",1,0,0,1,2
"93","2510065023","Candidatus Nitrososphaera gargensis Ga9-2",1,0,0,1,2
"94","2512875011","Halorubrum sp. J07HR59",1,0,0,1,2
"95","2503044003","Desulfurococcales archaeon",1,0,0,1,2
"96","2503044005","Desulfurococcales archaeon",1,0,0,1,2
"97","2507262000","Haladaptatus paucihalophilus DX253",1,0,0,1,2
"98","2513020042","Nitrosopumilus maritimus PRT005 (unscreened)",1,0,0,1,2
"99","2503044004","Desulfurococcales archaeon",1,0,0,1,2
"100","2512875008","Halonotius sp. J07HN6",1,0,0,1,2
"101","2506783034","Halophilic archaeon J07HB67",1,0,0,1,2
"102","2512875005","Haloquadratum walsbyi J07HQW1",1,0,0,1,2
"103","2512875007","Halonotius sp. J07HN4",1,0,0,1,2
"104","2512875010","halophilic archaeon J07HX5",1,0,0,0,1
"105","2504557009","Thermoproteales Type I archaeon",1,0,0,1,2
"106","2502082092","uncultured archaeon sp. J07HX64",1,0,0,1,2
"107","2502894001","Metallosphaera archaeon",1,0,0,0,1
"108","2504136013","Acidilobus sulfurireducens sp. nov.",1,0,0,1,2
"109","2263328037","Marine Group II euryarchaeote sp. SCGC AAA288-C18 (unscreened)",1,0,0,0,1
"110","2263328038","Marine Group III euryarchaeote sp. SCGC AAA007-O11 (unscreened)",1,0,0,0,1
"111","2264867000","Crenarchaeota archaeon SCGC AAA471-O08 (contamination screened)",1,0,0,1,2
"112","2264867002","Crenarchaeota archaeon SCGC AAA471-B23 (contamination screened)",1,0,0,1,2
"113","2264867021","Crenarchaeota archaeon SCGC AAA261-C22 (unscreened)",1,0,0,1,2
"114","2264867022","Crenarchaeota archaeon SCGC AAA261-L14 (unscreened)",1,0,0,1,2
"115","2264867023","Crenarchaeota archaeon SCGC AAA261-F05 (unscreened)",1,0,0,1,2
"116","2263082000","Thaumarchaeota archaeon DS1 (unscreened)",1,0,0,1,2
"117","2263082001","Thaumarchaeota archaeon sp. BS3",1,0,0,1,2
"118","2264867220","Aigarchaeota archaeon JGI 0000001-B8 (contamination screened)",1,0,0,1,2
"119","2264867223","Aigarchaeota archaeon SCGC AAA471-F17 (contamination screened)",1,0,0,0,1
"120","2264867229","Aigarchaeota archaeon JGI 0000106-J15 (contamination screened)",1,0,0,1,2
"121","2264867231","Aigarchaeota archaeon SCGC AAA471-D15 (contamination screened)",1,0,0,1,2
"122","2264867269","Crenarchaeota archaeon SCGC AAA471-L14 (contamination screened)",1,0,0,1,2
"123","2517287030","Haloplanus natans DSM 17983",1,0,0,1,2
"124","2516653073","Halomicrobium katesii DSM 19301",1,0,0,1,2
"125","2517287024","Natronorubrum tibetense DSM 13204",1,0,0,1,2
"126","2516653072","Haladaptatus paucihalophilus DX253",1,0,0,1,2
"127","2517093039","Pyrococcus furiosus COM1",1,0,0,1,2
"128","2516493037","Candidatus Nitrosopumilus salaria BD31",1,0,0,1,2
"129","2517487016","Nitrosopumilus sp. PRT005b (unscreened)",1,0,0,1,2
"130","2517093029","Natrinema sp. J7-2",1,0,0,1,2
"131","2517572169","Thermoplasmatales archaeon SCGC AB-539-N05 (unscreened)",1,0,0,1,2
"132","2517572170","Thermoplasmatales archaeon SCGC AB-539-C06 (unscreened)",1,0,0,1,2
"133","2517572172","Thermoplasmatales archaeon SCGC AB-540-F20 (unscreened)",1,0,0,1,2
"134","2518645502","Nitrosopumilus maritimus PRT005 (unscreened)",1,0,0,1,2
"135","2518645512","Halophilic archaeon A07HB70",1,0,0,1,2
"136","2518645513","uncultured archaeon A07HR60",1,0,0,1,2
"137","2518645514","Uncultured archaeon A07HR67",1,0,0,1,2
"138","2518645532","Candidatus Nitrosopumilus koreensis AR1",1,0,0,1,2
"139","2518645553","Thermococcus cleftensis CL1",1,0,0,1,2
"140","2518645576","Candidatus Nitrosopumilus sediminis AR2",1,0,0,1,2
"141","2519899514","Thaumarchaeota archaeon BS4",1,0,0,1,2
"142","2521172713","Haloferax mediterranei R-4",1,0,0,1,2
"143","2521172719","Pyrococcus sp. ST04",1,0,0,1,2
"144","2522125033","Metallosphaera My-r02",1,0,0,1,2
"145","2522125034","Sulfolobales-Type-1-ST1-r01",1,0,0,1,2
"146","2522125037","Acidilobus-DT1-r01",1,0,0,1,2
"147","2522125038","Thermoproteales-Type-1-TT1-r01",1,0,0,1,2
"148","2522125039","Thermoproteales-Type-1-TT1-r02",1,0,0,1,2
"149","2522125040","Thermoproteales-Type-1-TT1-r03",1,0,0,0,1
"150","2522125041","Thermoproteales-Type-1-TT1-r04",1,0,0,1,2
"151","2522125074","Archaeoglobus sulfaticallidus PM70-1, DSM 19444",1,0,0,1,2
"152","2522572136","Sulfolobales-str-MK5",1,0,0,1,2
"153","2522572137","Sulfolobales-MK5-r02",1,0,0,1,2
"154","2522572138","Sulfolobales-Si-r01",1,0,0,1,2
"155","2522572139","Geoarchaeota-NAG1-GT2-r01",1,0,0,1,2
"156","2522572144","Thermoplasmatales-like-NAG3-r03",1,0,0,1,2
"157","2522572145","Thaumarchaeota-Tha-I.1d-r01",1,0,0,1,2
"158","2522572146","Thaumarchaeota-Tha-I.1d-r02",1,0,0,1,2
"159","2522572147","Thaumarchaeota-Tha-I.1e-r01",1,0,0,1,2
"160","2524023099","Marine Group I thaumarchaeote sp. SCGC AAA288-M23 (unscreened)",1,0,0,1,2
"161","2524023104","Marine Group I thaumarchaeote sp. SCGC AAA288-P02 (unscreened)",1,0,0,1,2
"162","2524023112","Marine Group I thaumarchaeote sp. SCGC AAA008-E15 (unscreened)",1,0,0,1,2
"163","2524023114","Marine Group I thaumarchaeote sp. SCGC AAA008-G03 (unscreened)",1,0,0,1,2
"164","2524023116","Marine Group I thaumarchaeote sp. SCGC AAA008-M23 (unscreened)",1,0,0,0,1
"165","2524023119","Marine Group I thaumarchaeote sp. SCGC AAA008-O18 (unscreened)",1,0,0,1,2
"166","2524023121","Marine Group I thaumarchaeote sp. SCGC AAA008-P23 (unscreened)",1,0,0,1,2
"167","2524023122","Marine Group I thaumarchaeote sp. SCGC AAA288-C17 (unscreened)",1,0,0,1,2
"168","2524023125","Marine Group I thaumarchaeote sp. SCGC AAA288-E09 (unscreened)",1,0,0,0,1
"169","2524023126","Marine Group I thaumarchaeote sp. SCGC AAA288-G05 (unscreened)",1,0,0,1,2
"170","2524023127","Marine Group I thaumarchaeote sp. SCGC AAA288-K02 (unscreened)",1,0,0,1,2
"171","2524023197","Sulfolobus acidocaldarius N8",1,0,0,1,2
"172","2524023200","NAG2_mk4-r01",1,0,0,1,2
"173","2524023236","NAG2_ff85-r01",1,0,0,1,2
"174","2524023237","NAG2_ff85-r02",1,0,0,1,2
"175","2524023238","NAG2_ff85-r03",1,0,0,1,2
"176","2524614637","Sulfolobales archaeon Acd1",1,0,0,1,2
"177","2524614679","Halorubrum ezzemoulense DSM 17463",1,0,0,1,2
"178","2524614823","Halorubrum saccharovorum M6",1,0,0,1,2
"179","2527291500","Thaumarchaeota archaeon SCGC AAA007-O23 (contamination screened)",1,0,0,1,2
"180","2527291509","Aigarchaeota archaeon SCGC AAA471-B22 (contamination screened)",1,0,0,0,1
"181","2527291511","Aigarchaeota archaeon SCGC AAA471-D15 (contamination screened)",1,0,0,1,2
"182","2527291513","Crenarchaeota archaeon SCGC AAA471-B05 (contamination screened)",1,0,0,1,2
"183","2528311097","Halalkalicoccus jeotgali B3, DSM 18796",1,0,0,1,2
"184","2528311132","Archaeoglobus fulgidus 7324",1,0,0,1,2
"185","2528768014","Uncultured archaeon A07HN63",1,0,0,1,2
"186","2529292733","Halococcus hamelinensis 100A6",1,0,0,0,1
"187","2529293001","Natrinema pallidum DSM 3751",1,0,0,1,2
"188","2529293002","Natronolimnobius innermongolicus JCM 12255",1,0,0,0,1
"189","2529293100","Halobiforma lacisalsi AJ5, JCM 12983",1,0,0,1,2
"190","2529293123","Haloferax volcanii DS2",1,0,0,1,2
"191","2529293211","Natronorubrum tibetense GA33",1,0,0,1,2
"192","2529293212","Natronobacterium gregoryi SP2",1,0,0,1,2
"193","2529293243","Haloferax sulfurifontis M6",1,0,0,1,2
"194","2529293244","Haloferax mucosum PA12",1,0,0,1,2
"195","2529293245","Haloferax mediterranei R-4",1,0,0,1,2
"196","2531839093","Halococcus morrhuae DSM 1307",1,0,0,1,2
"197","2531839219","Halalkalicoccus jeotgali B3, DSM 18796",1,0,0,1,2
"198","2531839260","Natrialba hulunbeirensis JCM 10989",1,0,0,1,2
"199","2531839261","Natrialba aegyptia DSM 13077",1,0,0,1,2
"200","2531839487","Halosimplex carlsbadense 2-9-1",1,0,0,1,2
"201","2531839650","Haloarcula vallismortis J.F. 54",1,0,0,1,2
"202","2531839655","Haloarcula californiae BJGN-2, ATCC 33799",1,0,0,1,2
"203","2534681901","Haloterrigena thermotolerans DSM 11552",1,0,0,1,2
"204","2534681902","Haloarcula japonica DSM 6131",1,0,0,1,2
"205","2534682115","Halorubrum lipolyticum DSM 21995",1,0,0,1,2
"206","2534682141","Haloferax denitrificans S1",1,0,0,1,2
"207","2537561588","Halogeometricum borinquense PR3, DSM 11551",1,0,0,1,2
"208","2537561593","Haloferax sp. BAB-2207 BAB2207",1,0,0,1,2
"209","2537561864","Haloferax sp. GUBF-3",1,0,0,1,2
"210","2537561866","Halogranum salarium B-1",1,0,0,1,2
"211","2537561867","Haloferax sp. GUBF-1, ATCC BAA-644",1,0,0,1,2
"212","2537561868","Haloferax sp. GUBF-2, ATCC BAA-645",1,0,0,1,2
"213","2537561915","Nitrosoarchaeum limnia BG20",1,0,0,1,2
"214","2537562080","Natrinema pellirubrum 157",1,0,0,1,2
"215","2540341082","Natronomonas moolapensis 8.8.11, DSM 18674",1,0,0,1,2
"216","2540341142","Sulfolobus acidocaldarius Ron12/I",1,0,0,1,2
"217","2540341177","Sulfolobus islandicus LAL14/1",1,0,0,1,2
"218","2545555825","Aigarchaeota archaeon OS1",1,0,0,1,2
"219","2547132157","Thermococcus zilligii AN1",1,0,0,1,2
"220","2548876507","Nitrosopumilus sp. SJ",1,0,0,1,2
"221","2548876770","Sulfolobus islandicus M.16.12",1,0,0,1,2
"222","2548876771","Sulfolobus islandicus M.16.13",1,0,0,1,2
"223","2548876772","Sulfolobus islandicus M.16.22",1,0,0,1,2
"224","2548876773","Sulfolobus islandicus M.16.30",1,0,0,1,2
"225","2548876774","Sulfolobus islandicus M.16.46",1,0,0,1,2
"226","2551306368","Halorubrum sp. T3",1,0,0,1,2
"227","2551306701","Aigarchaeota T1 r01",1,0,0,1,2
"228","2551306704","Geoarchaeota NAG1 GT1 r03",1,0,0,1,2
"229","2551306705","Sulfolobales MK5 r01",1,0,0,1,2
"230","2551306706","Metallosphaera yellowstonensis r05",1,0,0,1,2
"231","2551306707","Sulfolobales ST1-r02",1,0,0,1,2
"232","2554235461","Aeropyrum camini SY1, JCM 12091",1,0,0,1,2
"233","2554235466","Halobiforma nitratireducens JCM 10879",1,0,0,1,2
"234","2554235473","Halorubrum coriense ACM 3911, Ch2",1,0,0,1,2
"235","2554235474","Natronorubrum bangense JCM 10635",1,0,0,1,2
"236","2554235475","Halorubrum aidingense JCM 13560",1,0,0,1,2
"237","2554235476","Natrialba chahannaoensis JCM 10990",1,0,0,1,2
"238","2554235477","Natronococcus amylolyticus DSM 10524",1,0,0,1,2
"239","2554235478","Haloferax elongans ATCC BAA-1513",1,0,0,1,2
"240","2554235479","Haloarcula argentinensis DSM 12282",1,0,0,1,2
"241","2554235480","Halorubrum arcis AJ201",1,0,0,1,2
"242","2554235481","Haloferax alexandrinus JCM 10717",1,0,0,1,2
"243","2554235482","Haloarcula amylolytica JCM 13557",1,0,0,1,2
"244","2554235483","Natrialba asiatica DSM 12278",1,0,0,1,2
"245","2554235484","Natrinema gari JCM 14663",1,0,0,1,2
"246","2554235485","Halovivax asiaticus JCM 14624",1,0,0,1,2
"247","2554235486","Halorubrum distributum VKM B-1733, 1-M",1,0,0,1,2
"248","2554235487","Halorubrum distributum VKM B-1733, 1-M",1,0,0,1,2
"249","2554235488","Natrinema altunense JCM 12890",1,0,0,1,2
"250","2554235489","Halorubrum kocurii JCM 14978",1,0,0,1,2
"251","2554235490","Halorubrum tebenquichense ALT-6, ALT6-92",1,0,0,1,2
"252","2554235491","Halococcus thailandensis JCM 13552",1,0,0,1,2
"253","2554235492","Natrialba magadii ATCC 43099",1,0,0,1,2
"254","2554235493","Natronococcus jeotgali DSM 18795",1,0,0,1,2
"255","2554235494","Haloferax lucentense DSM 14919",1,0,0,1,2
"256","2554235495","Halococcus saccharolyticus DSM 5350",1,0,0,1,2
"257","2554235496","Halorubrum californiense SF3-213",1,0,0,1,2
"258","2554235497","Natronorubrum sulfidifaciens JCM 14089",1,0,0,1,2
"259","2554235498","Haloterrigena limicola JCM 13563",1,0,0,1,2
"260","2554235499","Haloferax prahovense TL6",1,0,0,1,2
"261","2554235500","Haloferax larsenii JCM 13917",1,0,0,1,2
"262","2554235501","Haloferax gibbonsii ATCC 33959",1,0,0,1,2
"263","2554235502","Natrinema versiforme JCM 10478",1,0,0,1,2
"264","2554235503","Halorubrum hochstenium 1-13-28",1,0,0,1,2
"265","2554235504","Natrialba taiwanensis DSM 12281",1,0,0,1,2
"266","2554235505","Haloterrigena salina JCM 13891",1,0,0,1,2
"267","2554235506","Halococcus salifodinae BIp",1,0,0,1,2
"268","2554235507","Halogeometricum pallidum JCM 14848",1,0,0,1,2
"269","2554235508","Halorubrum litoreum JCM 13561",1,0,0,1,2
"270","2554235509","Halorubrum terrestre JCM 10247",1,0,0,1,2
"271","2554235510","Haloarcula sinaiiensis BJSG-2",1,0,0,1,2
"272","2556793003","Sulfolobus acidocaldarius SUSAZ",1,0,0,1,2
"273","2558309064","Haloarcula hispanica N601",1,0,0,1,2
"274","2558309099","Uncultured Crenarchaeota",1,0,0,1,2
"275","2558860254","Thermococcus paralvinellae ES1",1,0,0,1,2
"276","2563367005","Natrinema sp. J7-1",1,0,0,1,2
"277","2565956544","Methanosarcinales sp. ANME-2a",1,0,0,0,1
"278","2565956587","Thermococcus nautili 30-1 (unscreened)",1,0,0,1,2
"279","2568526208","Halobacteriaceae archaeon G22",1,0,0,1,2
"280","2571042356","Thermoplasmata T3F75",1,1,0,1,3
"281","2571042357","Uncultured Thermoplasmata T3M75",1,0,0,1,2
"282","2574180086","Candidatus Acidianus copahuensis ALE1",1,0,0,1,2
"283","2576861458","Haloferax mediterranei R-4",1,0,0,1,2
"284","2576861807","Halostagnicola sp. A56",1,0,0,1,2
"285","2579779048","Thaumarchaeota archaeon MY2",1,0,0,1,2
"286","2579779151","Picrophilus oshimae DSM 9789",1,0,0,1,2
"287","2579779171","Halorubrum sp. BV1",1,0,0,1,2
"288","2582580504","Haloterrigena jeotgali A29",1,0,0,1,2
"289","2582580505","Haladaptatus cibarius D43",1,0,0,1,2
"290","2585427612","Nitrososphaera viennensis EN76",1,0,0,1,2
"291","2585427666","Candidatus Nitrososphaera evergladensis SR1",1,0,0,1,2
"292","2585427993","Natrinema altunense AJ2",1,0,0,1,2
"293","2585428003","Haloferax sp. Caatinga",1,0,0,0,1
"294","2585428036","Marine Group I thaumarchaeote SCGC AAA799-N04 (unscreened)",1,0,0,1,2
"295","2588253738","Palaeococcus pacificus DY20341",1,0,0,1,2
"296","2588253768","Archaeoglobus fulgidus DSM 8774",1,0,0,1,2
"297","2588254065","Aramenus sulfurataquae AZ1",1,0,0,1,2
"298","2596583669","Halobacterium salinarum DSM 670",1,0,0,1,2
"299","2596583670","Halobacterium salinarum DSM 668",1,0,0,1,2
"300","2596583691","Halobacterium salinarum R1, DSM 671",1,0,0,1,2
"301","2597489945","Salinarchaeum sp. Harcht-Bsk1",1,0,0,1,2
"302","2597490337","Halobacterium salinarum DSM 3754",1,0,0,1,2
"303","2600255127","Halococcus agarilyticus 197A",1,0,0,1,2
"304","2600255154","Unclassified haloarchaeon 3A1-DGR",1,0,0,1,2
"305","2602041563","Halopiger djelfamassiliensis IIH2",1,0,0,1,2
"306","2602041564","Halopiger goleamassiliensis IIH3",1,0,0,1,2
"307","2603880166","Candidatus Nitrosocosmicus exaquare G61",1,0,0,1,2
"308","2609460254","Metallosphaera sedula",1,0,0,1,2
"309","2609460336","Haloferax alexandrinus Arc-Hr",1,0,0,1,2
"310","2615840654","Thermoplasmatales 190_A2 (unscreened)",1,0,0,1,2
"311","2616644887","Thaumarchaeon SCGC AD-687-J09 (unscreened)",1,0,0,0,1
"312","2617270732","Halorubrum sodomense RD 26",1,0,0,1,2
"313","2617270761","Halorubrum xinjiangense CGMCC 1.3527",1,0,0,1,2
"314","2617270777","Halobellus clavatus CGMCC 1.10118",1,0,0,1,2
"315","2617270869","Archeaon Loki",1,0,0,1,2
"316","2617270873","Halorubrum aquaticum CGMCC 1.6377",1,0,0,1,2
"317","2617270895","Halogeometricum limi CGMCC 1.8711",1,0,0,1,2
"318","2617270898","Haloplanus vescus CGMCC 1.8712",1,0,0,1,2
"319","2617270902","Halogranum gelatinilyticum CGMCC 1.10119",1,0,0,1,2
"320","2617270915","Halobacterium jilantaiense CGMCC 1.5337",1,0,0,1,2
"321","2617270917","Halopelagius inordinatus CGMCC 1.7739",1,0,0,1,2
"322","2617270920","Halogeometricum rufum CGMCC 1.7736",1,0,0,1,2
"323","2617270925","Natronorubrum sediminis CGMCC 1.8981",1,0,0,1,2
"324","2617270928","Halogranum amylolyticum CGMCC 1.10121",1,0,0,1,2
"325","2617271048","Halorubrum sp. AJ67",1,0,0,0,1
"326","2617271215","Halorubrum halophilum B8",1,0,0,1,2
"327","2617271222","Halolamina rubra CBA1107",1,0,0,1,2
"328","2617271223","Halobellus rufus CBA1103",1,0,0,1,2
"329","2619618869","Halobellus limi CGMCC 1.10331",1,0,0,1,2
"330","2619618938","Haloplanus aerogenes CGMCC 1.10124",1,0,0,1,2
"331","2619618990","Halogranum rubrum CGMCC 1.7738",1,0,0,1,2
"332","2619619229","Thaumarchaeota archaeon N4",1,0,0,1,2
"333","2626541593","Uncultured Thaumarcheaota bin 8",1,0,0,1,2
"334","2627853627","Acidiplasma sp. MBA-1",1,0,0,1,2
"335","2627853696","Nitrosopumilus piranensis D3C",1,0,0,1,2
"336","2627853826","Haloarcula sp. CBA1115",1,0,0,1,2
"337","2627854092","Nitrosopumilus adriaticus NF5",1,0,0,1,2
"338","2627854207","Natrinema altunense 1A4-DGR",1,0,0,0,1
"339","2627854249","Marine Group I thaumarchaeote SCGC AAA799-B03 (unscreened)",1,0,0,1,2
"340","2630968650","Thaumarchaeota archaeon SAT1",1,0,0,1,2
"341","2630968656","Marine Group I thaumarchaeote RSA3 (unscreened)",1,0,0,1,2
"342","2630968663","Halococcus sediminicola CBA1101",1,0,0,1,2
"343","2630968753","Halapricum salinum CBA1105",1,0,0,1,2
"344","2630968793","Candidatus Nitrosopelagicus brevis CN25",1,0,0,1,2
"345","2634166507","Geoglobus acetivorans SBH6",1,0,0,1,2
"346","2634166654","Euryarchaeota archaeon SCGC AC-657-J18 (unscreened)",1,0,0,0,1
"347","2634166661","Thaumarchaeota archaeon SCGC AC-665-F20 (unscreened)",1,0,0,1,2
"348","2634166663","Thaumarchaeota archaeon SCGC AC-665-L14 (unscreened)",1,0,0,1,2
"349","2634166676","Thaumarchaeota archaeon SCGC AC-738-L21 (unscreened)",1,0,0,1,2
"350","2634166680","Euryarchaeota archaeon SCGC AC-800-C03 (unscreened)",1,0,0,0,1
"351","2634166682","Thaumarchaeota archaeon SCGC AD-103-C20 (unscreened)",1,0,0,1,2
"352","2634166689","Thaumarchaeota archaeon SCGC AD-113-N16 (unscreened)",1,0,0,1,2
"353","2634166697","Thaumarchaeota archaeon SCGC AD-259-M03 (unscreened)",1,0,0,0,1
"354","2634166701","Euryarchaeota archaeon SCGC AD-261-K09 (unscreened)",1,0,0,0,1
"355","2634166704","Euryarchaeota archaeon SCGC AD-263-N20 (unscreened)",1,0,0,0,1
"356","2634166733","Thaumarchaeota archaeon SCGC AB-633-I03 (unscreened)",1,0,0,1,2
"357","2634166745","Euryarchaeota archaeon SCGC AB-663-I06 (unscreened)",1,0,0,0,1
"358","2634166810","Thaumarchaeota archaeon SCGC AC-337-E14 (unscreened)",1,0,0,1,2
"359","2634166865","Unclassified Archaeon SCGC AD-684-D18 (unscreened)",1,0,0,1,2
"360","2634166880","Unclassified Archaeon SCGC AD-706-D03 (unscreened)",1,0,0,1,2
"361","2634166884","Unclassified Archaeon SCGC AD-726-C03 (unscreened)",1,0,0,1,2
"362","2634166887","Unclassified Archaeon SCGC AD-726-I09 (unscreened)",1,0,0,1,2
"363","2636415484","Saccharolobus solfataricus 98/2 SULC",1,0,0,1,2
"364","2636415503","Thermococcus eurythermalis A501",1,0,0,1,2
"365","2636415580","Saccharolobus solfataricus SULB",1,0,0,1,2
"366","2636415618","Marine Group I thaumarchaeote SCGC AAA799-D11 (unscreened)",1,0,0,1,2
"367","2636415725","uncultured crenarchaeote",1,0,0,1,2
"368","2636415972","Thaumarchaeota archaeon SCGC AD-311-O21 (contamination screened)",1,0,0,1,2
