taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	NCBI Assembly Accession	NCBI GenBank ID	Genome Size   * assembled	Gene Count   * assembled	
2721755729	Bacteria	Finished	Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais	Corynebacterium pseudotuberculosis 33	Federal University of Minas Gerais	2721755729	GCA_001867025.1	CP015184	2403550	2265	
2518645564	Bacteria	Finished	Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil	Corynebacterium pseudotuberculosis sv. Equi 258	Rede Paraense de Genomica e Proteomica	2518645564	GCA_000263755	CP003540	2314404	2149	
2675903590	Bacteria	Finished	Corynebacterium pseudotuberculosis strain:PA01 Genome sequencing and assembly	Corynebacterium pseudotuberculosis PA01	Universidade Federal do Para (UFPA)	2675903590	GCA_001456175.1	CP013327	2337920	2169	
2687453256	Bacteria	Finished	Propionibacterium acnes strain:PA_15_1_R1 Genome sequencing and assembly	Cutibacterium acnes PA_15_1_R1	Aarhus University	2687453256	GCA_001469565.1	CP012355, CP012356	2547961	2442	
2871379085	Bacteria	Permanent Draft	Cutibacterium acnes 09-23 genome sequencing	Cutibacterium acnes 09-23	Aarhus University	2871379085	GCA_002556485.1	LKVC00000000	2476062	2425	
2899983920	Bacteria	Permanent Draft	Nocardioides sp. GY 10127 genome sequencing	Nocardioides sp. GY 10127	Guangxi University for Nationalities	2899983920	GCA_004919085.1	STGL00000000	4408634	3998	
2724679291	Bacteria	Permanent Draft	Genome sequencing to identify the genetic basis of strain dependant traits in Propionibacterium freudenreichii isolates	Propionibacterium freudenreichii CIRM-BIA 134	INRA STLO	2724679291	GCA_900000085.1	CCYY00000000	2635396	2397	
647000297	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes J165	J. Craig Venter Institute	647000297	GCA_000178055.1	ADJL00000000	2500083	2453	
2910862512	Bacteria	Permanent Draft	Genome Sequencing of Tessaracoccus sp. MC1756	Tessaracoccus sp. MC1756	National Institute for Communicable Disease Control and Prevention, China CDC	2910862512	GCA_014164735.1	JACJFZ00000000	3164585	2889	
2867417816	Bacteria	Permanent Draft	Canine Oral Isolates	Tessaracoccus sp. OH4464_COT-324	University of California, Davis	2867417816	GCA_003932855.1	RQYZ00000000	2761264	2695	
2537561736	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL082PA1	Washington University in St. Louis	2537561736	GCA_000145375.1	ADZJ00000000	2501273	2645	
2724679292	Bacteria	Permanent Draft	Genome sequencing to identify the genetic basis of strain dependant traits in Propionibacterium freudenreichii isolates	Propionibacterium freudenreichii CIRM-BIA 135	INRA STLO	2724679292	GCA_900000075.1	CCYZ00000000	2618921	2370	
639633020	Bacteria	Finished	Chlorobia, 8 species	Chlorobium phaeobacteroides DSM 266	DOE Joint Genome Institute (JGI)	639633020	GCA_000015125	CP000492	3133902	2805	
2531839226	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL053PA2	Washington University in St. Louis	2531839226	GCA_000144165.1	ADZB00000000	2497696	2637	
2751185899	Bacteria	Permanent Draft	Rhodococcus sp. R04	Rhodococcus sp. R04	Beijing Genomics Institute (BGI)	2751185899	GCA_000219395.2	AFAQ00000000	8361493	8874	
2648501731	Bacteria	Finished	Corynebacterium pseudotuberculosis strain:12C genome sequencing	Corynebacterium pseudotuberculosis 12C	Federal University of Minas Gerais	2648501731	GCA_001017615.1	CP011474	2337451	2191	
2522572156	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Granulicoccus phenolivorans DSM 17626	DOE Joint Genome Institute (JGI)	2522572156	GCA_000423085.1	AUHH00000000	4117723	3877	
2531839572	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes SK182B-JCVI	J. Craig Venter Institute	2531839572	GCA_000221145	AFUN00000000	2430672	2339	
637000215	Bacteria	Finished	Propionibacterium acnes KPA171202	Cutibacterium acnes KPA171202	University of Gottingen, University of Ulm	637000215	GCA_000008345	AE017283	2560265	2385	
2718217849	Bacteria	Finished	Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais	Corynebacterium pseudotuberculosis 35	Federal University of Minas Gerais	2718217849	GCA_001867045.1	CP015185	2403502	2264	
2623620529	Bacteria	Finished	Corynebacterium Type Strain Sequencing and Analysis Project	Corynebacterium aquilae S-613	Center for Biotechnology (CeBiTec), Bielefeld Univeristy	2623620529	GCA_001941445.1	CP009245	2926437	2516	
2524614803	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Propionibacterium acidifaciens DSM 21887	DOE Joint Genome Institute (JGI)	2524614803	GCA_000426605.1	AUFR00000000	3043901	2665	
2848142473	Bacteria	Finished	Corynebacterium pseudotuberculosis 99MAT genome sequencing	Corynebacterium pseudotuberculosis 99MAT	UFMG	2848142473	GCA_004295625.1	CP036169	2337582	2212	
2855967862	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes T29350	University of Washington	2855967862	GCA_003384525.1	PCNP00000000	2479249	2425	
2541047023	Bacteria	Finished	Propionibacterium sequencing project -BAYGEN, Hungary	Cutibacterium avidum 44067	BAYGEN	2541047023	GCA_000367205.1	CP005287	2526138	2297	
2529292840	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL002PA2	Washington University in St. Louis	2529292840	GCA_000144125.1	ADZS00000000	2475125	2591	
2867036635	Bacteria	Finished	Genome sequencing of bacterial type strains from NCTC culture collection	Propionibacterium australiense NCTC 13651	Wellcome Trust Sanger Institute	2867036635	GCA_900637915.1	LR134442	3044331	2772	
2531839423	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL030PA2	Washington University in St. Louis	2531839423	GCA_000145515.1	ADXZ00000000	2503604	2641	
2511231219	Bacteria	Finished	Propionibacterium sequencing project -BAYGEN, Hungary	Cutibacterium acnes ATCC 11828	BAYGEN	2511231219	GCA_000231215.1	CP003084	2488626	2310	
2920158810	Bacteria	Permanent Draft	Genome Sequencing of Naumannella sp. ID2617S	Naumannella sp. ID2617S	Sangji University	2920158810	GCA_013002685.1	JABENC00000000	3642962	3666	
2645727838	Bacteria	Finished	Corynebacterium ulcerans strain:210931 Genome sequencing	Corynebacterium ulcerans 210931	Federal University of Minas Gerais	2645727838	GCA_000767645.1	CP009583, CP009584	2509428	2338	
2537561677	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL086PA1	Washington University in St. Louis	2537561677	GCA_000144425.1	ADYP00000000	2523826	2606	
2724679290	Bacteria	Permanent Draft	Genome sequencing to identify the genetic basis of strain dependant traits in Propionibacterium freudenreichii isolates	Propionibacterium freudenreichii ITG P23	INRA STLO	2724679290	GCA_900000115.1	CCYX00000000	2589117	2350	
2938696265	Bacteria	Permanent Draft	Corynebacterium diphtheriae and Corynebacterium ulcerans Genome sequencing	Corynebacterium diphtheriae ST390-CPT-2015-46337	National Institute for Communicable Diseases, South Africa	2938696265	GCA_001876195.1	MIYR00000000	2285638	2259	
2511231126	Bacteria	Finished	Pan-genomics of Corynebacterium diphtheriae	Corynebacterium diphtheriae 241	Bielefeld University	2511231126	GCA_000241895.1	CP003207	2426551	2310	
2529292847	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL063PA2	Washington University in St. Louis	2529292847	GCA_000144735.1	ADYS00000000	2503152	2651	
2548876921	Bacteria	Permanent Draft	Corynebacterium diphtheriae bv. mitis str. NC03529	Corynebacterium diphtheriae bv. mitis NC03529	University of Strathclyde	2548876921	GCA_000257885.1	AJGI00000000	2483675	2482	
2835211878	Bacteria	Permanent Draft	Tessaracoccus sp. ZS01 genome sequencing	Tessaracoccus sp. ZS01	University of Huddersfield	2835211878	GCA_001956895.1	MTHC00000000	3184301	2948	
2858988785	Bacteria	Permanent Draft	Cutibacterium acnes NTS_2003_1719 genome sequencing	Cutibacterium acnes NTS_2003_1719	University of Nantes	2858988785	GCA_001750525.1	MAVU00000000	2535892	2479	
2866958356	Bacteria	Permanent Draft	[Pseudopropionibacterium] massiliense genome	[Pseudopropionibacterium] massiliense Marseille-P6184	Research Unit on Emerging Infectious and Tropical Diseases ( URMITE )	2866958356	GCA_900607225.1	UWTZ00000000	3476625	3218	
2554235426	Bacteria	Finished	Corynebacterium argentoratense DSM 44202 Genome sequencing	Corynebacterium argentoratense DSM 44202	Bielefeld University	2554235426	GCA_000590555.1	CP006365	2031902	1937	
2874040344	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes T35743	University of Washington	2874040344	GCA_003384665.1	PCNU00000000	2543132	2475	
2961865205	Bacteria	Permanent Draft	Corynebacterium diphtheriae Genome sequencing	Corynebacterium diphtheriae rz693	Institute for Medical Research	2961865205	GCA_002115095.1	NDHJ00000000	2473883	2498	
2874042820	Bacteria	Permanent Draft	Cutibacterium avidum Genome sequencing and assembly	Cutibacterium avidum CI853	University of California, Los Angeles	2874042820	GCA_002578765.1	NBIS00000000	2532456	2451	
2687453142	Bacteria	Finished	Human oral bacterial isolates genome sequencing	Arsenicicoccus sp. F0371	The Forsyth Institute	2687453142	GCA_001189535.1	CP012070	3525271	3313	
2558860400	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Propionibacterium sp. KPL1847	Broad Institute	2558860400	GCA_000477855.1	AXML00000000	2483868	2347	
2516143011	Bacteria	Permanent Draft	Propionibacterium sequencing project -BAYGEN, Hungary	Cutibacterium acnes PRP-38	BAYGEN	2516143011	GCA_000252385	AIJP00000000	2507426	2287	
2718218465	Bacteria	Finished	Corynebacterium pseudotuberculosis MEX9 Genome sequencing	Corynebacterium pseudotuberculosis MEX9	UFMG	2718218465	GCA_001653315.1	CP014543	2337578	2188	
2541047477	Bacteria	Permanent Draft	Corynebacterium diphtheriae DSM 43988	Corynebacterium diphtheriae DSM 43988	University of Strathclyde	2541047477	GCA_000455785.1	AUZN00000000	2141743	2133	
2558860418	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Propionibacterium sp. KPL2000	Broad Institute	2558860418	GCA_000477795.1	AXMH00000000	2562188	2395	
2871366901	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes T29362	University of Washington	2871366901	GCA_003384535.1	PCNQ00000000	2479242	2431	
2529292952	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL082PA2	Washington University in St. Louis	2529292952	GCA_000144105.1	ADZR00000000	2485511	2582	
2862043880	Bacteria	Permanent Draft	Corynebacterium sp. 13CS0277 genome sequencing	Corynebacterium sp. 13CS0277	Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health	2862043880	GCA_002994655.1	PPDL00000000	3057127	2585	
2531839424	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL001PA1	Washington University in St. Louis	2531839424	GCA_000144005.1	ADZV00000000	2474201	2622	
2869098794	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes P16-206	University of Washington	2869098794	GCA_003391355.1	NQMA00000000	2479421	2426	
2876299533	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes T20670	University of Washington	2876299533	GCA_003384445.1	PCNL00000000	2480130	2423	
2858993748	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes T35709	University of Washington	2858993748	GCA_003384625.1	PCNT00000000	2543034	2475	
2784132096	Bacteria	Permanent Draft	Corynebacterium diphtheriae bv. mitis ISS 3319 Genome sequencing	Corynebacterium diphtheriae bv. mitis ISS 3319	Northumbria University, University of Strathclyde	2784132096	GCA_002843135.1	CP025209, CP025210	2406896	2282	
2537561675	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL059PA1	Washington University in St. Louis	2537561675	GCA_000144855.1	ADYW00000000	2474683	2555	
2667527539	Bacteria	Finished	Genome sequences of multiple Propionibacterium acnes strains	Cutibacterium acnes PA_30_2_L1	Institute for Genome Sciences, University of Maryland School of Medicine	2667527539	GCA_001469555.1	CP012350	2530708	2393	
2859556566	Bacteria	Finished	Corynebacterium pseudotuberculosis Genome sequencing	Corynebacterium pseudotuberculosis SigmaE	UFMG	2859556566	GCA_002072715.1	CP020356	2339255	2208	
2811995216	Bacteria	Permanent Draft	Genome sequencing of female urinary tract bacteria isolated using an Enhanced Quantitative Urine Culture (EQUC) protocol	Corynebacterium amycolatum UMB0042	Loyola University Chicago	2811995216	GCA_002847785.1	PKHS00000000	2481374	2206	
2667527668	Bacteria	Permanent Draft	Genome sequencing to identify the genetic basis of strain dependant traits in Propionibacterium freudenreichii isolates	Propionibacterium freudenreichii CIRM-BIA 516	INRA STLO	2667527668	GCA_001369055.1	CDAB00000000	2625666	2399	
2558860401	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Propionibacterium sp. KPL1849	Broad Institute	2558860401	GCA_000477835.1	AXMK00000000	2472171	2342	
651324091	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Propionibacterium sp. 409-HC1	J. Craig Venter Institute (JCVI)	651324091	GCA_000214515	AFIK00000000	2528533	2551	
2855970288	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes T14358	University of Washington	2855970288	GCA_003384305.1	PCNE00000000	2547461	2487	
2836808371	Bacteria	Finished	Acidipropionibacterium acidipropionici WGS7 genome sequencing	Acidipropionibacterium acidipropionici WGS7	Australian Institute for Bioengineering and Nanotechnology	2836808371	GCA_003956085.1	CP031057	3615145	3446	
2920200153	Bacteria	Permanent Draft	Genome Sequencing of Propioniciclava sp. MC1683	Propioniciclava sp. MC1683	National Institute for Communicable Disease Control and Prevention, China CDC	2920200153	GCA_014164675.1	JACJFX00000000	3573456	3627	
2874050233	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes P15-089	University of Washington	2874050233	GCA_003426625.1	NOWJ00000000	2556671	2511	
2558860402	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Propionibacterium sp. KPL1852	Broad Institute	2558860402	GCA_000477695.1	AXMJ00000000	2525905	2359	
2518285595	Bacteria	Permanent Draft	Propionibacteria phylogeny project	Cutibacterium granulosum ATCC 25564	Eureka genomics	2518285595			2167659	1959	
639633050	Bacteria	Finished	Single Microbes GTL	Pelobacter propionicus DSM 2379	DOE Joint Genome Institute (JGI)	639633050	GCA_000015045	CP000483, CP000482, CP000484	4241119	3948	
2961894366	Bacteria	Permanent Draft	Corynebacterium diphtheriae Genome sequencing	Corynebacterium diphtheriae c325	Institute for Medical Research	2961894366	GCA_001832935.1	MLBK00000000	2472120	2504	
2867425335	Bacteria	Permanent Draft	Canine Oral Isolates	Arachnia propionica OH887_COT-365	University of California, Davis	2867425335	GCA_003859805.1	RQZG00000000	3397337	3298	
2627853834	Bacteria	Finished	Whole genome sequence of Corynebacterium ulcerans strain 05146	Corynebacterium ulcerans 05146	Federal University of Minas Gerais	2627853834	GCA_000769635.1	CP009716	2466435	2256	
2808606759	Bacteria	Permanent Draft	Genome sequencing of bacterial type strains from NCTC culture collection	Corynebacterium matruchotii NCTC 10254	Wellcome Trust Sanger Institute	2808606759	GCA_900447555.1	UARK00000000	2854659	2650	
2869111048	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes P15-231	University of Washington	2869111048	GCA_003384115.1	NXAP00000000	2524171	2473	
2888212034	Bacteria	Finished	Cutibacterium acnes NBRC 107605 genome sequencing	Cutibacterium acnes NBRC 107605	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	2888212034	GCA_006739385.1	AP019723	2494738	2427	
2671180235	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Tessaracoccus flava RP1	DOE Joint Genome Institute (JGI)	2671180235	GCA_900107385.1	FNPU00000000	3191994	2967	
2713896940	Bacteria	Permanent Draft	Genome sequencing to identify the genetic basis of strain dependant traits in Propionibacterium freudenreichii isolates	Propionibacterium freudenreichii CIRM-BIA 121	INRA STLO	2713896940	GCA_900000125.1	CCYR00000000	2561530	2296	
2877193178	Bacteria	Finished	Corynebacterium pseudotuberculosis CR07 genome sequencing	Corynebacterium pseudotuberculosis CR07	UFMG	2877193178	GCA_004193635.1	CP035715	2337589	2211	
2687453358	Bacteria	Finished	Corynebacterium pseudotuberculosis MEX25 genome sequencing and assembly	Corynebacterium pseudotuberculosis MEX25	Federal University of Minas Gerais	2687453358	GCA_001481675.1	CP013697	2337529	2183	
2869088689	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium modestum T33958	University of Washington	2869088689	GCA_003384615.1	PCZR00000000	2641556	2731	
2513237117	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Acidipropionibacterium acidipropionici DSM 4900	DOE Joint Genome Institute (JGI)	2513237117	GCA_000427845.1	ATYU00000000	3591078	3372	
2617270851	Bacteria	Finished	Corynebacterium Type Strain Sequencing and Analysis Project	Corynebacterium amycolatum DSM 6922 Genome Sequencing	Center for Biotechnology (CeBiTec), Bielefeld Univeristy	2617270851			2474946	2207	
2877188707	Bacteria	Finished	Draft Genome Sequence of Corynebacterium pseudotuberculosis strain PA06	Corynebacterium pseudotuberculosis PA06	Federal University of Para	2877188707	GCA_001969485.1	CP019289	2320434	2312	
2869093904	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes P15-207	University of Washington	2869093904	GCA_003384145.1	NXAQ00000000	2465584	2407	
2961862695	Bacteria	Permanent Draft	Corynebacterium pseudotuberculosis Genome sequencing	Corynebacterium pseudotuberculosis MB44	Federal University of Para	2961862695	GCA_001969175.1	MCOC00000000	2362226	2505	
2513237214	Bacteria	Finished	Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil	Corynebacterium pseudotuberculosis 267	Rede Paraense de Genomica e Proteomica	2513237214	GCA_000258385.1	CP003407	2337628	2209	
2511231088	Bacteria	Finished	Pan-genomics of Corynebacterium diphtheriae	Corynebacterium diphtheriae INCA 402	Bielefeld University	2511231088	GCA_000241915.1	CP003208	2449071	2279	
2938688769	Bacteria	Permanent Draft	Corynebacterium Genome sequencing	Corynebacterium sp. 20A	Northumbria University	2938688769	GCA_008930875.1	PQMO00000000	2509245	2253	
2869103718	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes P15-077	University of Washington	2869103718	GCA_003425775.1	NMRI00000000	2479049	2408	
2871359651	Bacteria	Permanent Draft	Cutibacterium acnes 09-322 genome sequencing	Cutibacterium acnes 09-322	Aarhus University	2871359651	GCA_002831715.1	LKVG00000000	2531832	2467	
2844519439	Bacteria	Finished	Genome sequencing as part of FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences project	Cutibacterium acnes FDAARGOS_577	Institute for Genome Sciences, University of Maryland School of Medicine, US Food and Drug Administration 	2844519439	GCA_003798465.1	CP033718	2495332	2453	
2938674827	Bacteria	Permanent Draft	Corynebacterium Genome sequencing	Corynebacterium belfantii bv. belfanti 631	Northumbria University	2938674827	GCA_002202425.1	LSVP00000000	2397667	2376	
2718217883	Bacteria	Finished	Complete Genome Sequencing of Corynebacterium pseudotuberculosis strain MEX29	Corynebacterium pseudotuberculosis MEX29	UFMG	2718217883	GCA_001865765.1	CP016826	2337866	2175	
2874035346	Bacteria	Permanent Draft	Cutibacterium avidum UCD-PD2 genome sequencing	Cutibacterium avidum UCD-PD2	University of California, Davis	2874035346	GCA_001692965.1	LYSN00000000	2667287	2564	
2651870304	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Raineyella antarctica LZ-22	DOE Joint Genome Institute (JGI)	2651870304	GCA_900092135.1	FMYF00000000	3760249	3480	
2862033302	Bacteria	Finished	Corynebacterium ulcerans PO100/5 Genome sequencing	Corynebacterium ulcerans PO100/5	UFMG	2862033302	GCA_002162115.1	CP021417	2572413	2662	
2871381511	Bacteria	Permanent Draft	bacterium Genome sequencing	Cutibacterium acnes T17001	University of Washington	2871381511	GCA_003384385.1	PCNI00000000	2536583	2472	
2523231069	Bacteria	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Acidipropionibacterium thoenii DSM 20276	DOE Joint Genome Institute (JGI)	2523231069	GCA_000423445.1	AUHZ00000000	2938072	2702	
2910878194	Bacteria	Permanent Draft	Genome Sequencing of Tessaracoccus sp. MC1865	Tessaracoccus sp. MC1865	National Institute for Communicable Disease Control and Prevention, China CDC	2910878194	GCA_014164715.1	JACJFY00000000	3028521	2872	
2961889302	Bacteria	Permanent Draft	Corynebacterium diphtheriae WD128 genome sequencing	Corynebacterium diphtheriae WD128	Christian Medical College	2961889302	GCA_001974725.1	MSTU00000000	2490899	2732	
2847120807	Bacteria	Finished	Propionibacterium freudenreichii CB129slpB genome sequencing	Propionibacterium freudenreichii CB129slpB	UFMG	2847120807	GCA_003330925.1	CP030279	2684198	2506	
2869759688	Bacteria	Finished	Corynebacterium pseudotuberculosis 87MAT genome sequencing	Corynebacterium pseudotuberculosis 87MAT	UFMG	2869759688	GCA_004193955.1	CP035719	2337583	2208	
2919897874	Bacteria	Permanent Draft	Genome Sequencing of Propioniciclava soli YIM S02567	Propioniciclava soli YIM S02567	Yunnan Institute of Microbiology	2919897874	GCA_014858005.1	JACYOT00000000	3796070	3578	
2874055179	Bacteria	Permanent Draft	Cutibacterium acnes 09-9 genome sequencing	Cutibacterium acnes 09-9	Aarhus University	2874055179	GCA_002600615.1	CM008375, LKVB00000000	2532936	2491	
2588253763	Bacteria	Finished	Corynebacterium pseudotuberculosis project- Oslo University Hospital , Norway	Corynebacterium pseudotuberculosis 48252	Oslo University Hospital	2588253763	GCA_000730365.1	CP008922	2338139	2288	
2511231107	Bacteria	Finished	Pan-genomics of Corynebacterium diphtheriae	Corynebacterium diphtheriae VA01	Bielefeld University	2511231107	GCA_000255255.1	CP003217	2395441	2256	
2537561598	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL096PA2	Washington University in St. Louis	2537561598	GCA_000194845.1	ADWC00000000	2559595	2637	
2744054862	Bacteria	Permanent Draft	Propionibacterium sp. NTS31307302 genome sequencing	Cutibacterium namnetense NTS31307302	University of Nantes	2744054862	GCA_001642025.1	LWHO00000000	2367192	2239	
2627854161	Bacteria	Permanent Draft	Corynebacterium argentoratense CNM 463/05 Genome sequencing	Corynebacterium argentoratense CNM 463/05	AC-Gen Reading Life	2627854161	GCA_000971865.1	JZEZ00000000	2020910	2073	
2619619216	Bacteria	Permanent Draft	Propionibacterium acnes strain Sequencing - UCLA	Cutibacterium acnes ATCC 6919	University of California, Los Angeles	2619619216	GCA_000730485.1	JNHS00000000	2601903	2654	
2537561822	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Cutibacterium acnes HL067PA1	Washington University in St. Louis	2537561822	GCA_000144045.1	ADZT00000000	2526632	2631	
2751185590	Bacteria	Permanent Draft	Anaerobic digester sludge microbial communities from Brisbane, Australia	Actinomycetales bacterium Actino_02	University of Queensland,  The University of Queensland	2751185590	GCA_001603275.1	LUYM00000000	3053133	2871	
2855103437	Bacteria	Permanent Draft	Propionibacterium australiense Genome sequencing and assembly	Propionibacterium australiense NML98A078	National Microbiology Laboratory, Public Health Agency of Canada	2855103437	GCA_003666625.1	RCIW00000000	3016395	2805	
2545824790	Bacteria	Permanent Draft	Propionibacterium sequencing project - Aarhus University	Cutibacterium granulosum TM11	University of Gottingen	2545824790	GCA_000464495.1	AOST00000000	2146866	1858	
2636415748	Bacteria	Permanent Draft	Corynebacterium diphtheriae bv. gravis ISS 4749	Corynebacterium diphtheriae bv. gravis ISS 4749	Northumbria University, University of Strathclyde	2636415748	GCA_001188005.1	JAQQ00000000	2366484	2284	
2871371811	Bacteria	Permanent Draft	Cutibacterium avidum Genome sequencing and assembly	Cutibacterium avidum CI828	University of California, Los Angeles	2871371811	GCA_002578835.1	NBIQ00000000	2476142	2370	
2856490523	Bacteria	Permanent Draft	Sequencing the genomes of 1000 actinobacteria strains	Corynebacterium durum DSM 45333	DOE Joint Genome Institute (JGI)	2856490523		JACCFR000000000	2800016	2693	
