,strain,gene,hit_score
117,Aggregatibacter_actinomycetemcomitans,pct,76.3
118,Aggregatibacter_segnis,lcdC,15.9
119,Agrobacterium_tumefaciens,acrC,346.6
120,Agrobacterium_tumefaciens,lcdC,22.0
121,Agrobacterium_tumefaciens,pct,554.2
122,Agrococcus_jejuensis,acrC,241.9
123,Agrococcus_jejuensis,lcdC,20.9
124,Agrococcus_jejuensis,pct,62.0
125,Agrococcus_terreus,acrC,228.5
126,Agrococcus_terreus,pct,56.3
127,Akkermansia_muciniphila,lcdC,14.9
128,Akkermansia_muciniphila,pct,23.2
129,Alcaligenes_faecalis,acrC,283.8
130,Alcaligenes_faecalis,lcdC,15.5
131,Alcaligenes_faecalis,pct,75.9
132,Aliagarivorans_marinus,acrC,74.9
133,Aliagarivorans_marinus,lcdB,13.2
134,Aliagarivorans_marinus,lcdC,23.7
135,Aliagarivorans_marinus,pct,736.3
136,Alistipes-ihumii-AP11-MAF-2,acrC,183.8
137,Alistipes-ihumii-AP11-MAF-2,lcdC,16.9
138,Alistipes-indistinctus-YIT-12060-MAF-2,acrC,187.3
139,Alistipes-indistinctus-YIT-12060-MAF-2,lcdC,17.6
140,Alistipes-onderdonkii-DSM-19147-MAF-2,acrC,184.4
141,Alistipes-onderdonkii-DSM-19147-MAF-2,lcdC,23.7
142,Alistipes-putredinis-DSM-17216-MAF-2,acrC,418.2
143,Alistipes-putredinis-DSM-17216-MAF-2,lcdC,19.5
144,Alistipes-putredinis-DSM-17216-MAF-2,pct,98.1
145,Alistipes-senegalensis-JC50-MAF-2,acrC,196.5
146,Alistipes-shahii-WAL-8301-MAF-2,acrC,194.2
147,Alistipes-shahii-WAL-8301-MAF-2,lcdC,20.4
148,Alistipes_finegoldii,acrC,185.6
149,Alistipes_finegoldii,lcdC,22.3
150,Alistipes_obesi,acrC,184.3
151,Alistipes_obesi,lcdC,18.3
152,Alistipes_timonensis,acrC,191.7
153,Alistipes_timonensis,lcdC,16.9
154,Allisonella_histaminiformans,acrC,290.1
155,Allisonella_histaminiformans,lcdC,245.9
156,Alloprevotella_tannerae,acrC,168.8
157,Alloprevotella_tannerae,lcdC,15.2
158,Alloscardovia_omnicolens,lcdC,11.8
159,Anaerobiospirillum_succiniciproducens,lcdC,15.9
160,Anaerobiospirillum_thomasii,lcdC,26.2
161,Anaerobutyricum_hallii,acrC,404.9
162,Anaerobutyricum_hallii,lcdA,29.0
163,Anaerobutyricum_hallii,lcdB,107.1
164,Anaerobutyricum_hallii,lcdC,298.3
165,Anaerococcus_hydrogenalis,acrC,428.2
166,Anaerococcus_hydrogenalis,lcdA,14.4
167,Anaerococcus_hydrogenalis,lcdC,251.4
168,Anaerococcus_murdochii,lcdB,14.0
169,Anaerococcus_murdochii,lcdC,246.8
170,Anaerococcus_murdochii,pct,97.9
171,Anaerococcus_obesiensis,acrC,432.0
172,Anaerococcus_obesiensis,lcdA,30.0
173,Anaerococcus_obesiensis,lcdB,116.9
174,Anaerococcus_obesiensis,lcdC,300.1
175,Anaerococcus_octavius,acrC,413.1
176,Anaerococcus_octavius,lcdA,22.5
177,Anaerococcus_octavius,lcdB,97.2
178,Anaerococcus_octavius,lcdC,294.6
179,Anaerococcus_prevotii,acrC,414.0
180,Anaerococcus_prevotii,lcdC,253.3
181,Anaerococcus_senegalensis,acrC,433.4
182,Anaerococcus_senegalensis,lcdC,253.0
183,Anaerococcus_vaginalis,acrC,432.0
184,Anaerococcus_vaginalis,lcdA,29.4
185,Anaerococcus_vaginalis,lcdB,118.7
186,Anaerococcus_vaginalis,lcdC,300.1
187,Anaerofustis_stercorihominis,acrC,444.8
188,Anaerofustis_stercorihominis,lcdC,255.4
189,Anaerorhabdus_furcosa,lcdC,266.9
190,Anaerostipes-caccae-DSM-14662-MAF-2,acrC,626.0
191,Anaerostipes-caccae-DSM-14662-MAF-2,lcdC,259.3
192,Anaerostipes-caccae-DSM-14662-MAF-2,pct,867.4
193,Anaerostipes_butyraticus,acrC,412.8
194,Anaerostipes_butyraticus,lcdA,24.7
195,Anaerostipes_butyraticus,lcdB,99.1
196,Anaerostipes_butyraticus,lcdC,287.4
197,Anaerostipes_coli,acrC,411.5
198,Anaerostipes_coli,lcdA,56.3
199,Anaerostipes_coli,lcdB,78.7
200,Anaerostipes_coli,lcdC,319.2
201,Anaerostipes_coli,pct,841.3
202,Anaerostipes_hadrus,acrC,411.5
203,Anaerostipes_hadrus,lcdA,56.3
204,Anaerostipes_hadrus,lcdB,78.7
205,Anaerostipes_hadrus,lcdC,319.2
206,Anaerostipes_hadrus,pct,841.3
207,Anaerotruncus-colihominis-DSM-17241-MAF-2,acrC,436.2
208,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcdC,24.0
209,Ancylobacter_polymorphus,acrC,252.3
210,Ancylobacter_polymorphus,lcdC,20.6
211,Ancylobacter_polymorphus,pct,668.8
212,Aneurinibacillus_aneurinilyticus,acrC,397.5
213,Aneurinibacillus_aneurinilyticus,lcdC,213.4
214,Aneurinibacillus_aneurinilyticus,pct,76.5
215,Aneurinibacillus_migulanus,acrC,400.4
216,Aneurinibacillus_migulanus,lcdC,213.8
217,Aneurinibacillus_migulanus,pct,77.0
218,Aquabacterium_commune,acrC,375.2
219,Aquabacterium_commune,lcdC,15.6
220,Aquabacterium_commune,pct,573.8
221,Aquabacterium_parvum,acrC,374.6
222,Aquabacterium_parvum,lcdC,15.6
223,Aquabacterium_parvum,pct,71.2
224,Aquincola_tertiaricarbonis,acrC,334.3
225,Aquincola_tertiaricarbonis,lcdC,22.5
226,Aquincola_tertiaricarbonis,pct,700.9
227,Arcanobacterium_haemolyticum,acrC,109.4
228,Arcanobacterium_haemolyticum,lcdC,13.0
229,Arcanobacterium_pyogenes,acrC,131.7
230,Arcanobacterium_pyogenes,lcdC,20.8
231,Arcobacter_butzleri,acrC,103.8
232,Arcobacter_butzleri,lcdC,15.4
233,Arcobacter_cryaerophilus,lcdC,15.3
234,Arthrobacter_albus,acrC,120.1
235,Arthrobacter_albus,lcdC,13.0
236,Arthrobacter_albus,pct,50.7
237,Arthrobacter_castelli,acrC,251.8
238,Arthrobacter_castelli,lcdC,29.7
239,Arthrobacter_castelli,pct,62.1
240,Arthrobacter_globiformis,acrC,267.6
241,Arthrobacter_globiformis,pct,67.0
242,Arthrobacter_oxydans,acrC,271.3
243,Arthrobacter_oxydans,lcdC,16.4
244,Arthrobacter_oxydans,pct,68.9
245,Arthrobacter_polychromogenes,acrC,270.2
246,Arthrobacter_polychromogenes,lcdC,13.3
247,Arthrobacter_polychromogenes,pct,71.0
248,Atopobium_minutum,lcdC,252.6
249,Atopobium_parvulum,lcdC,246.7
250,Atopobium_rimae,lcdC,250.9
251,Aurantimonas_altamirensis,acrC,291.6
252,Aurantimonas_altamirensis,lcdC,19.0
253,Aureimonas_ureilytica,acrC,349.9
254,Aureimonas_ureilytica,lcdC,18.8
255,Aureimonas_ureilytica,pct,84.7
256,Bacillus_altitudinis,acrC,426.9
257,Bacillus_altitudinis,lcdC,24.1
258,Bacillus_altitudinis,pct,79.3
259,Bacillus_amyloliquefaciens,acrC,375.8
260,Bacillus_amyloliquefaciens,lcdC,27.8
261,Bacillus_amyloliquefaciens,pct,68.3
262,Bacillus_arsenicus,acrC,428.5
263,Bacillus_arsenicus,lcdB,17.6
264,Bacillus_arsenicus,lcdC,19.7
265,Bacillus_arsenicus,pct,75.9
266,Bacillus_atrophaeus,acrC,410.6
267,Bacillus_atrophaeus,lcdC,25.6
268,Bacillus_atrophaeus,pct,67.9
269,Bacillus_badius,acrC,440.1
270,Bacillus_badius,lcdC,20.6
271,Bacillus_badius,pct,84.8
272,Bacillus_beijingensis,acrC,424.3
273,Bacillus_beijingensis,lcdC,23.5
274,Bacillus_beijingensis,pct,67.8
275,Bacillus_benzoevorans,acrC,429.1
276,Bacillus_benzoevorans,lcdC,20.9
277,Bacillus_benzoevorans,pct,719.8
278,Bacillus_cereus,acrC,435.2
279,Bacillus_cereus,lcdC,33.4
280,Bacillus_cereus,pct,69.7
281,Bacillus_clausii,acrC,399.0
282,Bacillus_clausii,lcdC,33.1
283,Bacillus_clausii,pct,69.4
284,Bacillus_endophyticus,acrC,404.0
285,Bacillus_endophyticus,lcdC,25.2
286,Bacillus_endophyticus,pct,62.2
287,Bacillus_firmus,acrC,422.4
288,Bacillus_firmus,lcdC,21.4
289,Bacillus_firmus,pct,67.5
290,Bacillus_flexus,acrC,426.7
291,Bacillus_flexus,lcdB,12.9
292,Bacillus_flexus,lcdC,22.0
293,Bacillus_flexus,pct,78.9
294,Bacillus_fordii,acrC,404.9
295,Bacillus_fordii,lcdC,20.1
296,Bacillus_fordii,pct,673.5
297,Bacillus_halodurans,acrC,442.3
298,Bacillus_halodurans,lcdC,20.1
299,Bacillus_halodurans,pct,836.4
300,Bacillus_idriensis,acrC,431.8
301,Bacillus_idriensis,lcdC,26.0
302,Bacillus_idriensis,pct,613.7
303,Bacillus_infantis,acrC,436.9
304,Bacillus_infantis,lcdC,28.4
305,Bacillus_infantis,pct,81.3
306,Bacillus_licheniformis,acrC,422.2
307,Bacillus_licheniformis,lcdC,24.5
308,Bacillus_licheniformis,pct,60.5
309,Bacillus_marisflavi,acrC,445.6
310,Bacillus_marisflavi,lcdC,22.2
311,Bacillus_marisflavi,pct,68.9
312,Bacillus_marseilloanorexicus,acrC,435.9
313,Bacillus_marseilloanorexicus,lcdC,272.0
314,Bacillus_marseilloanorexicus,pct,58.3
315,Bacillus_massiliosenegalensis,acrC,418.1
316,Bacillus_massiliosenegalensis,lcdC,26.2
317,Bacillus_massiliosenegalensis,pct,85.0
318,Bacillus_mojavensis,acrC,415.9
319,Bacillus_mojavensis,lcdC,27.1
320,Bacillus_mojavensis,pct,74.4
321,Bacillus_mycoides,acrC,431.1
322,Bacillus_mycoides,lcdC,33.4
323,Bacillus_mycoides,pct,68.8
324,Bacillus_nealsonii,acrC,212.7
325,Bacillus_nealsonii,lcdC,25.4
326,Bacillus_niacini,acrC,427.3
327,Bacillus_niacini,lcdA,163.6
328,Bacillus_niacini,lcdB,199.8
329,Bacillus_niacini,lcdC,316.7
330,Bacillus_niacini,pct,67.3
331,Bacillus_pumilus,acrC,423.4
332,Bacillus_pumilus,lcdC,25.6
333,Bacillus_pumilus,pct,77.6
334,Bacillus_schlegelii,acrC,237.2
335,Bacillus_schlegelii,lcdC,20.3
336,Bacillus_schlegelii,pct,20.2
337,Bacillus_simplex,acrC,433.8
338,Bacillus_simplex,lcdC,25.1
339,Bacillus_simplex,pct,80.2
340,Bacillus_siralis,acrC,424.0
341,Bacillus_siralis,lcdC,20.8
342,Bacillus_siralis,pct,76.9
343,Bacillus_sonorensis,acrC,415.0
344,Bacillus_sonorensis,lcdC,22.8
345,Bacillus_sonorensis,pct,63.0
346,Bacillus_subtilis,acrC,413.4
347,Bacillus_subtilis,lcdC,26.1
348,Bacillus_subtilis,pct,71.1
349,Bacillus_thermoamylovorans,acrC,411.9
350,Bacillus_thermoamylovorans,lcdC,263.2
351,Bacillus_thermoamylovorans,pct,83.4
352,Bacillus_thuringiensis,acrC,435.2
353,Bacillus_thuringiensis,lcdC,33.3
354,Bacillus_thuringiensis,pct,69.7
355,Bacillus_timonensis,acrC,429.9
356,Bacillus_timonensis,lcdC,26.3
357,Bacillus_timonensis,pct,68.6
358,Bacillus_vallismortis,acrC,419.8
359,Bacillus_vallismortis,lcdC,26.4
360,Bacillus_vallismortis,pct,67.4
361,Bacteroides-caccae-ATCC-43185-MAF-2,acrC,158.4
362,Bacteroides-caccae-ATCC-43185-MAF-2,lcdC,15.4
363,Bacteroides-caccae-ATCC-43185-MAF-2,pct,16.5
364,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,acrC,160.1
365,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcdC,274.5
366,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,pct,18.0
367,Bacteroides-coprophilus-DSM-18228-MAF-2,acrC,160.9
368,Bacteroides-coprophilus-DSM-18228-MAF-2,lcdA,13.4
369,Bacteroides-coprophilus-DSM-18228-MAF-2,lcdC,18.4
370,Bacteroides-coprophilus-DSM-18228-MAF-2,pct,24.4
371,Bacteroides-dorei-5-1-36-D4-MAF-2,acrC,163.9
372,Bacteroides-dorei-5-1-36-D4-MAF-2,lcdC,34.4
373,Bacteroides-dorei-5-1-36-D4-MAF-2,pct,21.8
374,Bacteroides-dorei-DSM-17855-MAF-2,acrC,163.9
375,Bacteroides-dorei-DSM-17855-MAF-2,lcdC,20.3
376,Bacteroides-dorei-DSM-17855-MAF-2,pct,21.8
377,Bacteroides-eggerthii-DSM-20697-MAF-2,acrC,161.6
378,Bacteroides-eggerthii-DSM-20697-MAF-2,lcdC,30.8
379,Bacteroides-eggerthii-DSM-20697-MAF-2,pct,18.0
380,Bacteroides-finegoldii-DSM-17565-MAF-2,acrC,156.6
381,Bacteroides-finegoldii-DSM-17565-MAF-2,lcdC,15.1
382,Bacteroides-finegoldii-DSM-17565-MAF-2,pct,15.6
383,Bacteroides-fragilis-2-1-16-MAF-2,acrC,165.2
384,Bacteroides-fragilis-2-1-16-MAF-2,lcdC,13.5
385,Bacteroides-fragilis-2-1-16-MAF-2,pct,18.8
386,Bacteroides-fragilis-3-1-12-MAF-2,acrC,166.1
387,Bacteroides-fragilis-3-1-12-MAF-2,pct,18.8
388,Bacteroides-intestinalis-DSM-17393-MAF-2,acrC,160.1
389,Bacteroides-intestinalis-DSM-17393-MAF-2,lcdC,34.9
390,Bacteroides-intestinalis-DSM-17393-MAF-2,pct,18.2
391,Bacteroides-ovatus-ATCC-8483-MAF-2,acrC,160.7
392,Bacteroides-ovatus-ATCC-8483-MAF-2,lcdC,14.5
393,Bacteroides-ovatus-ATCC-8483-MAF-2,pct,16.7
394,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcdC,287.1
395,Bacteroides-plebeius-DSM-17135-MAF-2,acrC,160.9
396,Bacteroides-plebeius-DSM-17135-MAF-2,lcdA,13.5
397,Bacteroides-plebeius-DSM-17135-MAF-2,lcdC,29.1
398,Bacteroides-plebeius-DSM-17135-MAF-2,pct,20.4
399,Bacteroides-rodentium-JCM-16496-MAF-2,acrC,161.8
400,Bacteroides-rodentium-JCM-16496-MAF-2,lcdC,33.1
401,Bacteroides-rodentium-JCM-16496-MAF-2,pct,18.2
402,Bacteroides-sp-3-1-19-MAF-2,acrC,175.0
403,Bacteroides-sp-3-1-19-MAF-2,lcdA,13.6
404,Bacteroides-sp-3-1-19-MAF-2,lcdC,29.7
405,Bacteroides-sp-3-1-19-MAF-2,pct,22.2
406,Bacteroides-sp-9-1-42FAA-MAF-2,acrC,163.9
407,Bacteroides-sp-9-1-42FAA-MAF-2,lcdC,34.4
408,Bacteroides-sp-9-1-42FAA-MAF-2,pct,21.9
409,Bacteroides-sp-D2-MAF-2,acrC,160.7
410,Bacteroides-sp-D2-MAF-2,lcdC,281.4
411,Bacteroides-sp-D2-MAF-2,pct,16.2
412,Bacteroides-stercoris-ATCC-43183-MAF-2,acrC,161.8
413,Bacteroides-stercoris-ATCC-43183-MAF-2,lcdC,30.3
414,Bacteroides-stercoris-ATCC-43183-MAF-2,pct,17.9
415,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,acrC,161.1
416,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcdC,288.4
417,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,pct,16.8
418,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,acrC,161.5
419,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcdC,288.7
420,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,pct,16.8
421,Bacteroides-uniformis-ATCC-8492-MAF-2,acrC,161.8
422,Bacteroides-uniformis-ATCC-8492-MAF-2,lcdC,34.1
423,Bacteroides-uniformis-ATCC-8492-MAF-2,pct,18.2
424,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,acrC,156.5
425,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcdC,15.3
426,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,pct,16.7
427,Bacteroides_acidifaciens,acrC,156.6
428,Bacteroides_acidifaciens,lcdC,20.4
429,Bacteroides_acidifaciens,pct,17.8
430,Bacteroides_barnesiae,acrC,161.6
431,Bacteroides_barnesiae,lcdA,13.9
432,Bacteroides_barnesiae,lcdC,25.2
433,Bacteroides_barnesiae,pct,18.4
434,Bacteroides_clarus,acrC,161.6
435,Bacteroides_clarus,lcdA,12.4
436,Bacteroides_clarus,lcdC,31.9
437,Bacteroides_clarus,pct,18.5
438,Bacteroides_coagulans,acrC,78.4
439,Bacteroides_coagulans,lcdA,38.5
440,Bacteroides_coagulans,lcdB,97.6
441,Bacteroides_coagulans,lcdC,305.8
442,Bacteroides_coagulans,pct,18.6
443,Bacteroides_coprocola,acrC,162.5
444,Bacteroides_coprocola,lcdC,26.3
445,Bacteroides_coprocola,pct,20.9
446,Bacteroides_faecichinchillae,acrC,157.1
447,Bacteroides_faecichinchillae,lcdA,13.6
448,Bacteroides_faecichinchillae,lcdC,20.2
449,Bacteroides_faecichinchillae,pct,17.9
450,Bacteroides_faecis,acrC,161.5
451,Bacteroides_faecis,lcdC,290.2
452,Bacteroides_faecis,pct,16.8
453,Bacteroides_fluxus,acrC,163.6
454,Bacteroides_fluxus,lcdC,32.3
455,Bacteroides_fluxus,pct,17.9
456,Bacteroides_fragilis,acrC,165.2
457,Bacteroides_fragilis,lcdC,13.5
458,Bacteroides_fragilis,pct,18.8
459,Bacteroides_gallinarum,acrC,160.5
460,Bacteroides_gallinarum,lcdA,12.7
461,Bacteroides_gallinarum,lcdC,13.3
462,Bacteroides_gallinarum,pct,18.4
463,Bacteroides_graminisolvens,acrC,163.9
464,Bacteroides_graminisolvens,lcdC,18.6
465,Bacteroides_graminisolvens,pct,21.3
466,Bacteroides_massiliensis,acrC,163.9
467,Bacteroides_massiliensis,lcdC,33.5
468,Bacteroides_massiliensis,pct,20.7
469,Bacteroides_nordii,acrC,168.9
470,Bacteroides_nordii,lcdC,20.5
471,Bacteroides_nordii,pct,20.3
472,Bacteroides_oleiciplenus,acrC,163.0
473,Bacteroides_oleiciplenus,lcdC,282.6
474,Bacteroides_oleiciplenus,pct,17.1
475,Bacteroides_pyogenes,acrC,162.0
476,Bacteroides_pyogenes,lcdC,18.9
477,Bacteroides_pyogenes,pct,17.5
478,Bacteroides_salanitronis,acrC,163.2
479,Bacteroides_salanitronis,lcdC,271.8
480,Bacteroides_salanitronis,pct,23.2
481,Bacteroides_salyersiae,acrC,168.3
482,Bacteroides_salyersiae,lcdC,279.4
483,Bacteroides_salyersiae,pct,20.0
484,Bacteroides_sartorii,acrC,165.6
485,Bacteroides_sartorii,lcdC,31.6
486,Bacteroides_sartorii,pct,19.5
487,Bacteroides_stercorirosoris,acrC,163.1
488,Bacteroides_stercorirosoris,lcdC,35.2
489,Bacteroides_stercorirosoris,pct,18.0
490,Bacteroides_thetaiotaomicron,acrC,161.5
491,Bacteroides_thetaiotaomicron,lcdC,288.7
492,Bacteroides_thetaiotaomicron,pct,16.8
493,Bacteroides_timonensis,acrC,157.5
494,Bacteroides_timonensis,lcdC,34.7
495,Bacteroides_timonensis,pct,18.0
496,Bacteroides_ureolyticus,lcdC,18.0
497,Bacteroides_vulgatus,acrC,163.9
498,Bacteroides_vulgatus,lcdC,32.5
499,Bacteroides_vulgatus,pct,21.8
500,Barnesiella_intestinihominis,acrC,177.6
501,Barnesiella_intestinihominis,lcdC,279.2
502,Barnesiella_intestinihominis,pct,23.7
503,Bavariicoccus_seileri,lcdC,20.1
504,Bifidobacterium-adolescentis-L2-32-MAF-2,lcdA,16.3
505,Bifidobacterium-adolescentis-L2-32-MAF-2,lcdB,15.0
506,Bifidobacterium-adolescentis-L2-32-MAF-2,lcdC,258.0
507,Bifidobacterium_adolescentis,lcdB,15.0
508,Bifidobacterium_adolescentis,lcdC,256.2
509,Bifidobacterium_angulatum,lcdC,255.2
510,Bifidobacterium_animalis,lcdC,256.0
511,Bifidobacterium_bifidum,lcdC,256.6
512,Bifidobacterium_boum,lcdC,263.4
513,Bifidobacterium_breve,lcdC,251.2
514,Bifidobacterium_catenulatum,lcdC,152.0
515,Bifidobacterium_coryneforme,lcdC,256.8
516,Bifidobacterium_dentium,lcdC,256.3
517,Bifidobacterium_gallicum,lcdC,252.6
518,Bifidobacterium_longum,lcdC,249.9
519,Bifidobacterium_mongoliense,lcdC,12.2
520,Bifidobacterium_pseudocatenulatum,lcdC,150.8
521,Bifidobacterium_pseudolongum,lcdC,250.2
522,Bifidobacterium_ruminantium,lcdB,15.0
523,Bifidobacterium_ruminantium,lcdC,257.4
524,Bifidobacterium_scardovii,lcdC,256.2
525,Bifidobacterium_stercoris,lcdB,15.0
526,Bifidobacterium_stercoris,lcdC,256.2
527,Bifidobacterium_thermacidophilum,lcdC,263.3
528,Bifidobacterium_thermophilum,lcdC,263.7
529,Bilophila_wadsworthia,acrC,300.1
530,Bilophila_wadsworthia,lcdA,27.7
531,Bilophila_wadsworthia,lcdB,119.3
532,Bilophila_wadsworthia,lcdC,325.0
533,Blastococcus_massiliensis,acrC,313.5
534,Blastococcus_massiliensis,pct,57.9
535,Blastomonas_natatoria,acrC,304.8
536,Blastomonas_natatoria,lcdC,24.3
537,Blastomonas_natatoria,pct,67.4
538,Blautia-hansenii-DSM-20583-MAF-2,lcdC,250.9
539,Blautia-hansenii-DSM-20583-MAF-2,pct,23.7
540,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcdC,251.9
541,Blautia-hydrogenotrophica-DSM-10507-MAF-2,pct,74.0
542,Blautia-obeum-ATCC-29174-MAF-2,lcdA,48.0
543,Blautia-obeum-ATCC-29174-MAF-2,lcdB,13.6
544,Blautia-obeum-ATCC-29174-MAF-2,lcdC,322.6
545,Blautia-obeum-ATCC-29174-MAF-2,pct,91.5
546,Blautia-sp-KLE-1732-MAF-2,lcdA,60.2
547,Blautia-sp-KLE-1732-MAF-2,lcdB,20.0
548,Blautia-sp-KLE-1732-MAF-2,lcdC,307.5
549,Blautia-wexlerae-DSM-19850-MAF-2,lcdA,62.0
